time	pid	handle	thread	virt(KB)	res(KB)	cpu_percent	free_memory(GB)
1970/01/01_08:18:25	16924		16	388096	245760	100	0
1970/01/01_08:18:26	16924		16	388096	244736	94	0
1970/01/01_08:18:27	16924		16	388096	244736	100	0
1970/01/01_08:18:28	16924		16	388096	244736	82	0
1970/01/01_08:18:29	16924		16	388096	244736	102	0
1970/01/01_08:18:30	16924		16	388096	244736	100	0
1970/01/01_08:18:31	16924		16	388096	244736	100	0
1970/01/01_08:18:32	16924		16	388096	244736	100	0
1970/01/01_08:18:33	16924		16	388096	244736	100	0
1970/01/01_08:18:34	16924		16	388096	244736	100	0
1970/01/01_08:18:35	16924		16	388096	244736	88	0
1970/01/01_08:18:36	16924		16	388096	244736	100	0
1970/01/01_08:18:37	16924		16	388096	244736	100	0
1970/01/01_08:18:39	16924		16	388096	244736	102	0
1970/01/01_08:18:40	16924		16	388096	244736	88	0
1970/01/01_08:18:41	16924		16	388096	244736	100	0
1970/01/01_08:18:42	16924		16	388096	244736	100	0
1970/01/01_08:18:43	16924		16	388096	244736	100	0
1970/01/01_08:18:44	16924		16	388096	244736	100	0
1970/01/01_08:18:45	16924		16	388096	244736	100	0
1970/01/01_08:18:46	16924		16	388096	244736	92	0
1970/01/01_08:18:47	16924		16	388096	244736	100	0
1970/01/01_08:18:48	16924		16	388096	244736	100	0
1970/01/01_08:18:49	16924		16	388096	244736	100	0
1970/01/01_08:18:50	16924		16	388096	245760	100	0
1970/01/01_08:18:51	16924		16	388096	244736	100	0
1970/01/01_08:18:52	16924		16	388096	244736	100	0
1970/01/01_08:18:53	16924		16	377856	229376	84	0
1970/01/01_08:18:54	16924		16	388096	244736	100	0
1970/01/01_08:18:55	16924		16	346112	206848	98	0
1970/01/01_08:18:56	16924		16	388096	244736	100	0
1970/01/01_08:18:57	16924		16	388096	244736	100	0
1970/01/01_08:18:58	16924		16	388096	244736	100	0
1970/01/01_08:18:59	16924		16	388096	245760	100	0
1970/01/01_08:19:00	16924		16	377856	223232	90	0
1970/01/01_08:19:01	16924		16	388096	244736	100	0
1970/01/01_08:19:02	16924		16	388096	245760	100	0
1970/01/01_08:19:03	16924		16	388096	244736	86	0
1970/01/01_08:19:04	16924		16	388096	245760	100	0
1970/01/01_08:19:05	16924		16	388096	245760	100	0
1970/01/01_08:19:06	16924		16	388096	245760	102	0
1970/01/01_08:19:07	16924		16	388096	245760	100	0
1970/01/01_08:19:08	16924		16	388096	245760	100	0
1970/01/01_08:19:09	16924		16	389120	245760	102	0
1970/01/01_08:19:10	16924		16	389120	245760	102	0
1970/01/01_08:19:11	16924		16	389120	245760	100	0
1970/01/01_08:19:12	16924		16	389120	245760	90	0
1970/01/01_08:19:13	16924		16	389120	245760	100	0
1970/01/01_08:19:14	16924		16	389120	245760	100	0
1970/01/01_08:19:15	16924		16	389120	245760	100	0
1970/01/01_08:19:16	16924		16	389120	246784	100	0
1970/01/01_08:19:17	16924		16	389120	245760	100	0
1970/01/01_08:19:18	16924		16	389120	245760	100	0
1970/01/01_08:19:20	16924		16	389120	245760	100	0
1970/01/01_08:19:21	16924		16	377856	236544	90	0
1970/01/01_08:19:22	16924		16	389120	245760	100	0
1970/01/01_08:19:23	16924		16	389120	246784	102	0
1970/01/01_08:19:24	16924		16	389120	246784	102	0
1970/01/01_08:19:25	16924		16	389120	246784	100	0
1970/01/01_08:19:26	16924		16	389120	245760	100	0
1970/01/01_08:19:27	16924		16	389120	246784	100	0
1970/01/01_08:19:28	16924		16	389120	246784	102	0
1970/01/01_08:19:29	16924		16	389120	246784	102	0
1970/01/01_08:19:30	16924		16	389120	245760	90	0
1970/01/01_08:19:31	16924		16	389120	246784	100	0
1970/01/01_08:19:32	16924		16	389120	246784	100	0
1970/01/01_08:19:33	16924		16	389120	246784	100	0
1970/01/01_08:19:34	16924		16	389120	245760	100	0
1970/01/01_08:19:35	16924		16	389120	246784	100	0
1970/01/01_08:19:36	16924		16	389120	246784	100	0
1970/01/01_08:19:37	16924		16	389120	245760	100	0
1970/01/01_08:19:38	16924		16	389120	246784	100	0
1970/01/01_08:19:39	16924		16	389120	246784	100	0
1970/01/01_08:19:40	16924		16	389120	245760	88	0
1970/01/01_08:19:41	16924		16	389120	246784	100	0
1970/01/01_08:19:42	16924		16	389120	246784	100	0
1970/01/01_08:19:44	16924		16	389120	246784	100	0
1970/01/01_08:19:45	16924		16	389120	245760	100	0
1970/01/01_08:19:46	16924		16	389120	246784	98	0
1970/01/01_08:19:47	16924		16	389120	246784	100	0
1970/01/01_08:19:48	16924		16	389120	246784	100	0
1970/01/01_08:19:49	16924		16	389120	245760	86	0
1970/01/01_08:19:50	16924		16	389120	246784	100	0
1970/01/01_08:19:51	16924		16	389120	246784	102	0
1970/01/01_08:19:52	16924		16	389120	246784	100	0
1970/01/01_08:19:53	16924		16	389120	246784	100	0
1970/01/01_08:19:54	16924		16	389120	246784	100	0
1970/01/01_08:19:55	16924		16	389120	245760	102	0
1970/01/01_08:19:56	16924		16	389120	246784	100	0
1970/01/01_08:19:57	16924		16	389120	246784	100	0
1970/01/01_08:19:58	16924		16	389120	245760	84	0
1970/01/01_08:19:59	16924		16	389120	246784	102	0
1970/01/01_08:20:00	16924		16	389120	246784	100	0
1970/01/01_08:20:01	16924		16	389120	246784	100	0
1970/01/01_08:20:02	16924		16	389120	245760	100	0
1970/01/01_08:20:03	16924		16	389120	246784	100	0
1970/01/01_08:20:04	16924		16	389120	246784	98	0
1970/01/01_08:20:05	16924		16	389120	245760	100	0
1970/01/01_08:20:06	16924		16	389120	246784	100	0
1970/01/01_08:20:07	16924		16	389120	246784	100	0
1970/01/01_08:20:08	16924		16	389120	245760	100	0
1970/01/01_08:20:09	16924		16	389120	246784	100	0
1970/01/01_08:20:10	16924		16	389120	246784	102	0
1970/01/01_08:20:11	16924		16	389120	246784	102	0
1970/01/01_08:20:12	16924		16	389120	245760	88	0
1970/01/01_08:20:13	16924		16	389120	246784	100	0
1970/01/01_08:20:14	16924		16	389120	246784	100	0
1970/01/01_08:20:15	16924		16	389120	246784	102	0
1970/01/01_08:20:16	16924		16	389120	246784	100	0
1970/01/01_08:20:17	16924		16	389120	245760	100	0
1970/01/01_08:20:18	16924		16	389120	246784	100	0
1970/01/01_08:20:19	16924		16	389120	246784	102	0
1970/01/01_08:20:20	16924		16	389120	245760	100	0
1970/01/01_08:20:21	16924		16	389120	246784	100	0
1970/01/01_08:20:22	16924		16	389120	246784	100	0
1970/01/01_08:20:24	16924		16	389120	246784	100	0
1970/01/01_08:20:25	16924		16	389120	245760	88	0
1970/01/01_08:20:26	16924		16	389120	246784	100	0
1970/01/01_08:20:27	16924		16	389120	246784	100	0
1970/01/01_08:20:28	16924		16	389120	246784	100	0
1970/01/01_08:20:29	16924		16	389120	246784	100	0
1970/01/01_08:20:30	16924		16	389120	246784	102	0
1970/01/01_08:20:31	16924		16	348160	208896	100	0
1970/01/01_08:20:32	16924		16	389120	245760	100	0
1970/01/01_08:20:33	16924		16	389120	246784	102	0
1970/01/01_08:20:34	16924		16	389120	246784	100	0
1970/01/01_08:20:35	16924		16	389120	246784	100	0
1970/01/01_08:20:36	16924		16	389120	245760	100	0
1970/01/01_08:20:37	16924		16	389120	246784	102	0
1970/01/01_08:20:38	16924		16	389120	246784	100	0
1970/01/01_08:20:39	16924		16	389120	246784	100	0
1970/01/01_08:20:40	16924		16	389120	246784	100	0
1970/01/01_08:20:41	16924		16	389120	246784	100	0
1970/01/01_08:20:42	16924		16	389120	246784	100	0
1970/01/01_08:20:43	16924		16	389120	245760	100	0
1970/01/01_08:20:44	16924		16	389120	246784	100	0
1970/01/01_08:20:45	16924		16	389120	246784	100	0
1970/01/01_08:20:46	16924		16	389120	246784	100	0
1970/01/01_08:20:47	16924		16	389120	245760	100	0
1970/01/01_08:20:48	16924		16	389120	246784	100	0
1970/01/01_08:20:49	16924		16	389120	246784	102	0
1970/01/01_08:20:50	16924		16	389120	245760	88	0
1970/01/01_08:20:51	16924		16	389120	246784	100	0
1970/01/01_08:20:52	16924		16	389120	246784	100	0
1970/01/01_08:20:53	16924		16	389120	246784	102	0
1970/01/01_08:20:54	16924		16	389120	246784	100	0
1970/01/01_08:20:55	16924		16	389120	247808	100	0
1970/01/01_08:20:56	16924		16	389120	247808	100	0
1970/01/01_08:20:57	16924		16	389120	246784	90	0
1970/01/01_08:20:58	16924		16	389120	246784	100	0
1970/01/01_08:20:59	16924		16	389120	246784	100	0
1970/01/01_08:21:00	16924		16	389120	246784	100	0
1970/01/01_08:21:01	16924		16	389120	246784	88	0
1970/01/01_08:21:02	16924		16	389120	246784	100	0
1970/01/01_08:21:04	16924		16	389120	246784	102	0
1970/01/01_08:21:05	16924		16	389120	246784	100	0
1970/01/01_08:21:06	16924		16	389120	246784	100	0
1970/01/01_08:21:07	16924		16	389120	246784	100	0
1970/01/01_08:21:08	16924		16	389120	246784	100	0
1970/01/01_08:21:09	16924		16	389120	246784	100	0
1970/01/01_08:21:10	16924		16	389120	246784	100	0
1970/01/01_08:21:11	16924		16	389120	246784	100	0
1970/01/01_08:21:12	16924		16	347136	207872	96	0
1970/01/01_08:21:13	16924		16	389120	246784	100	0
1970/01/01_08:21:14	16924		16	389120	246784	100	0
1970/01/01_08:21:15	16924		16	389120	246784	100	0
1970/01/01_08:21:16	16924		16	389120	246784	96	0
1970/01/01_08:21:17	16924		16	389120	246784	100	0
1970/01/01_08:21:18	16924		16	389120	246784	102	0
1970/01/01_08:21:19	16924		16	389120	246784	100	0
1970/01/01_08:21:20	16924		16	389120	246784	100	0
1970/01/01_08:21:21	16924		16	389120	246784	100	0
1970/01/01_08:21:22	16924		16	389120	246784	90	0
1970/01/01_08:21:23	16924		16	389120	246784	100	0
1970/01/01_08:21:24	16924		16	389120	246784	100	0
1970/01/01_08:21:25	16924		16	389120	246784	102	0
1970/01/01_08:21:26	16924		16	389120	246784	84	0
1970/01/01_08:21:27	16924		16	389120	246784	102	0
1970/01/01_08:21:28	16924		16	389120	246784	100	0
1970/01/01_08:21:29	16924		16	389120	246784	100	0
1970/01/01_08:21:30	16924		16	389120	247808	100	0
1970/01/01_08:21:31	16924		16	389120	246784	84	0
1970/01/01_08:21:32	16924		16	389120	246784	100	0
1970/01/01_08:21:33	16924		16	389120	246784	100	0
1970/01/01_08:21:34	16924		16	389120	246784	84	0
1970/01/01_08:21:35	16924		16	389120	246784	100	0
1970/01/01_08:21:36	16924		16	389120	246784	100	0
1970/01/01_08:21:37	16924		16	389120	246784	102	0
1970/01/01_08:21:38	16924		16	389120	246784	94	0
1970/01/01_08:21:39	16924		16	389120	246784	100	0
1970/01/01_08:21:40	16924		16	389120	246784	100	0
1970/01/01_08:21:41	16924		16	389120	246784	102	0
1970/01/01_08:21:42	16924		16	389120	246784	100	0
1970/01/01_08:21:44	16924		16	389120	246784	100	0
1970/01/01_08:21:45	16924		16	389120	247808	100	0
1970/01/01_08:21:46	16924		16	389120	246784	84	0
1970/01/01_08:21:47	16924		16	389120	246784	100	0
1970/01/01_08:21:48	16924		16	389120	246784	100	0
1970/01/01_08:21:49	16924		16	389120	246784	102	0
1970/01/01_08:21:50	16924		16	389120	246784	100	0
1970/01/01_08:21:51	16924		16	389120	246784	100	0
1970/01/01_08:21:52	16924		16	389120	246784	100	0
1970/01/01_08:21:53	16924		16	389120	246784	100	0
1970/01/01_08:21:54	16924		16	389120	245760	88	0
1970/01/01_08:21:55	16924		16	389120	246784	100	0
1970/01/01_08:21:56	16924		16	389120	246784	100	0
1970/01/01_08:21:57	16924		16	389120	245760	84	0
1970/01/01_08:21:58	16924		16	389120	246784	100	0
1970/01/01_08:21:59	16924		16	389120	246784	100	0
1970/01/01_08:22:00	16924		16	389120	246784	102	0
1970/01/01_08:22:01	16924		16	347136	207872	100	0
1970/01/01_08:22:02	16924		16	389120	245760	100	0
1970/01/01_08:22:03	16924		16	389120	246784	100	0
1970/01/01_08:22:04	16924		16	389120	245760	102	0
1970/01/01_08:22:05	16924		16	389120	246784	100	0
1970/01/01_08:22:06	16924		16	389120	246784	100	0
1970/01/01_08:22:07	16924		16	389120	246784	100	0
1970/01/01_08:22:08	16924		16	389120	246784	102	0
1970/01/01_08:22:09	16924		16	389120	246784	88	0
1970/01/01_08:22:10	16924		16	389120	246784	102	0
1970/01/01_08:22:11	16924		16	389120	246784	102	0
1970/01/01_08:22:12	16924		16	389120	246784	90	0
1970/01/01_08:22:13	16924		16	389120	246784	102	0
1970/01/01_08:22:14	16924		16	389120	246784	100	0
1970/01/01_08:22:15	16924		16	389120	246784	100	0
1970/01/01_08:22:16	16924		16	389120	247808	100	0
1970/01/01_08:22:17	16924		16	389120	246784	100	0
1970/01/01_08:22:18	16924		16	389120	246784	100	0
1970/01/01_08:22:19	16924		16	347136	207872	98	0
1970/01/01_08:22:20	16924		16	389120	246784	100	0
1970/01/01_08:22:21	16924		16	389120	246784	102	0
1970/01/01_08:22:22	16924		16	389120	246784	100	0
1970/01/01_08:22:24	16924		16	389120	246784	100	0
1970/01/01_08:22:25	16924		16	389120	246784	90	0
1970/01/01_08:22:26	16924		16	389120	246784	100	0
1970/01/01_08:22:27	16924		16	389120	246784	102	0
1970/01/01_08:22:28	16924		16	389120	246784	100	0
1970/01/01_08:22:29	16924		16	389120	246784	102	0
1970/01/01_08:22:30	16924		16	389120	246784	100	0
1970/01/01_08:22:31	16924		16	389120	246784	100	0
1970/01/01_08:22:32	16924		16	389120	246784	100	0
1970/01/01_08:22:33	16924		16	389120	246784	100	0
1970/01/01_08:22:34	16924		16	389120	246784	100	0
1970/01/01_08:22:35	16924		16	389120	246784	90	0
1970/01/01_08:22:36	16924		16	389120	246784	100	0
1970/01/01_08:22:37	16924		16	389120	246784	100	0
1970/01/01_08:22:38	16924		16	389120	246784	100	0
1970/01/01_08:22:39	16924		16	389120	246784	100	0
1970/01/01_08:22:40	16924		16	389120	247808	102	0
1970/01/01_08:22:41	16924		16	389120	246784	100	0
1970/01/01_08:22:42	16924		16	389120	246784	100	0
1970/01/01_08:22:43	16924		16	389120	246784	100	0
1970/01/01_08:22:44	16924		16	347136	207872	86	0
1970/01/01_08:22:45	16924		16	389120	246784	100	0
1970/01/01_08:22:46	16924		16	389120	246784	102	0
1970/01/01_08:22:47	16924		16	389120	246784	102	0
1970/01/01_08:22:48	16924		16	389120	246784	102	0
1970/01/01_08:22:49	16924		16	389120	246784	100	0
1970/01/01_08:22:50	16924		16	389120	246784	100	0
1970/01/01_08:22:51	16924		16	389120	246784	100	0
1970/01/01_08:22:52	16924		16	389120	246784	100	0
1970/01/01_08:22:53	16924		16	389120	246784	100	0
1970/01/01_08:22:54	16924		16	389120	246784	102	0
1970/01/01_08:22:55	16924		16	389120	246784	100	0
1970/01/01_08:22:56	16924		16	389120	246784	100	0
1970/01/01_08:22:57	16924		16	389120	246784	88	0
1970/01/01_08:22:58	16924		16	389120	246784	100	0
1970/01/01_08:22:59	16924		16	389120	246784	100	0
1970/01/01_08:23:00	16924		16	347136	207872	98	0
1970/01/01_08:23:01	16924		16	389120	246784	100	0
1970/01/01_08:23:02	16924		16	389120	246784	100	0
1970/01/01_08:23:03	16924		16	389120	246784	100	0
1970/01/01_08:23:05	16924		16	389120	246784	88	0
1970/01/01_08:23:06	16924		16	389120	246784	100	0
1970/01/01_08:23:07	16924		16	389120	246784	100	0
1970/01/01_08:23:08	16924		16	389120	246784	102	0
1970/01/01_08:23:09	16924		16	389120	246784	100	0
1970/01/01_08:23:10	16924		16	389120	246784	88	0
1970/01/01_08:23:11	16924		16	389120	246784	100	0
1970/01/01_08:23:12	16924		16	389120	246784	100	0
1970/01/01_08:23:13	16924		16	389120	246784	100	0
1970/01/01_08:23:14	16924		16	347136	207872	88	0
1970/01/01_08:23:15	16924		16	389120	246784	100	0
1970/01/01_08:23:16	16924		16	389120	246784	100	0
1970/01/01_08:23:17	16924		16	389120	246784	102	0
1970/01/01_08:23:18	16924		16	389120	246784	102	0
1970/01/01_08:23:19	16924		16	389120	246784	100	0
1970/01/01_08:23:20	16924		16	389120	246784	100	0
1970/01/01_08:23:21	16924		16	389120	246784	100	0
1970/01/01_08:23:22	16924		16	389120	246784	86	0
1970/01/01_08:23:23	16924		16	389120	246784	100	0
1970/01/01_08:23:24	16924		16	389120	246784	100	0
1970/01/01_08:23:25	16924		16	389120	246784	100	0
1970/01/01_08:23:26	16924		16	389120	246784	100	0
1970/01/01_08:23:27	16924		16	389120	246784	100	0
1970/01/01_08:23:28	16924		16	389120	246784	94	0
1970/01/01_08:23:29	16924		16	389120	246784	100	0
1970/01/01_08:23:30	16924		16	389120	246784	102	0
1970/01/01_08:23:31	16924		16	389120	246784	88	0
1970/01/01_08:23:32	16924		16	389120	246784	100	0
1970/01/01_08:23:33	16924		16	389120	246784	100	0
1970/01/01_08:23:34	16924		16	389120	246784	100	0
1970/01/01_08:23:35	16924		16	389120	246784	100	0
1970/01/01_08:23:36	16924		16	389120	246784	100	0
1970/01/01_08:23:37	16924		16	389120	246784	100	0
1970/01/01_08:23:38	16924		16	389120	246784	100	0
1970/01/01_08:23:39	16924		16	389120	246784	100	0
1970/01/01_08:23:40	16924		16	389120	246784	100	0
1970/01/01_08:23:41	16924		16	389120	246784	100	0
1970/01/01_08:23:42	16924		16	389120	246784	100	0
1970/01/01_08:23:43	16924		16	389120	246784	86	0
1970/01/01_08:23:44	16924		16	389120	246784	100	0
1970/01/01_08:23:46	16924		16	389120	246784	100	0
1970/01/01_08:23:47	16924		16	389120	246784	100	0
1970/01/01_08:23:48	16924		16	389120	246784	102	0
1970/01/01_08:23:49	16924		16	389120	246784	90	0
1970/01/01_08:23:50	16924		16	389120	246784	100	0
1970/01/01_08:23:51	16924		16	389120	246784	100	0
1970/01/01_08:23:52	16924		16	389120	246784	100	0
1970/01/01_08:23:53	16924		16	389120	246784	100	0
1970/01/01_08:23:54	16924		16	389120	246784	88	0
1970/01/01_08:23:55	16924		16	389120	246784	100	0
1970/01/01_08:23:56	16924		16	389120	246784	100	0
1970/01/01_08:23:57	16924		16	389120	246784	102	0
1970/01/01_08:23:58	16924		16	389120	246784	100	0
1970/01/01_08:23:59	16924		16	389120	246784	100	0
1970/01/01_08:24:00	16924		16	389120	246784	100	0
1970/01/01_08:24:01	16924		16	389120	246784	100	0
1970/01/01_08:24:02	16924		16	389120	246784	100	0
1970/01/01_08:24:03	16924		16	389120	246784	100	0
1970/01/01_08:24:04	16924		16	389120	246784	100	0
1970/01/01_08:24:05	16924		16	389120	246784	100	0
1970/01/01_08:24:06	16924		16	389120	246784	92	0
1970/01/01_08:24:07	16924		16	389120	246784	100	0
1970/01/01_08:24:08	16924		16	389120	246784	100	0
1970/01/01_08:24:09	16924		16	389120	246784	100	0
1970/01/01_08:24:10	16924		16	389120	246784	94	0
1970/01/01_08:24:11	16924		16	389120	246784	100	0
1970/01/01_08:24:12	16924		16	389120	246784	100	0
1970/01/01_08:24:13	16924		16	389120	246784	100	0
1970/01/01_08:24:14	16924		16	389120	246784	102	0
1970/01/01_08:24:15	16924		16	389120	247808	100	0
1970/01/01_08:24:16	16924		16	389120	246784	100	0
1970/01/01_08:24:17	16924		16	389120	246784	100	0
1970/01/01_08:24:18	16924		16	389120	246784	100	0
1970/01/01_08:24:19	16924		16	389120	246784	100	0
1970/01/01_08:24:20	16924		16	389120	246784	100	0
1970/01/01_08:24:21	16924		16	389120	246784	102	0
1970/01/01_08:24:22	16924		16	389120	246784	100	0
1970/01/01_08:24:23	16924		16	389120	246784	100	0
1970/01/01_08:24:24	16924		16	389120	246784	100	0
1970/01/01_08:24:26	16924		16	377856	228352	91	0
1970/01/01_08:24:27	16924		16	389120	246784	100	0
1970/01/01_08:24:28	16924		16	389120	246784	102	0
1970/01/01_08:24:29	16924		16	389120	246784	100	0
1970/01/01_08:24:30	16924		16	389120	246784	100	0
1970/01/01_08:24:31	16924		16	389120	246784	100	0
1970/01/01_08:24:32	16924		16	389120	246784	100	0
1970/01/01_08:24:33	16924		16	389120	246784	84	0
1970/01/01_08:24:34	16924		16	389120	246784	100	0
1970/01/01_08:24:35	16924		16	389120	246784	84	0
1970/01/01_08:24:36	16924		16	389120	246784	102	0
1970/01/01_08:24:37	16924		16	389120	246784	100	0
1970/01/01_08:24:38	16924		16	389120	246784	82	0
1970/01/01_08:24:39	16924		16	389120	246784	100	0
1970/01/01_08:24:40	16924		16	389120	246784	100	0
1970/01/01_08:24:41	16924		16	389120	246784	86	0
1970/01/01_08:24:42	16924		16	389120	246784	100	0
1970/01/01_08:24:43	16924		16	389120	246784	100	0
1970/01/01_08:24:44	16924		16	389120	246784	100	0
1970/01/01_08:24:45	16924		16	377856	232448	86	0
1970/01/01_08:24:46	16924		16	389120	246784	100	0
1970/01/01_08:24:47	16924		16	389120	246784	100	0
1970/01/01_08:24:48	16924		16	389120	246784	86	0
1970/01/01_08:24:49	16924		16	389120	246784	102	0
1970/01/01_08:24:50	16924		16	389120	246784	86	0
1970/01/01_08:24:51	16924		16	389120	246784	100	0
1970/01/01_08:24:52	16924		16	389120	246784	84	0
1970/01/01_08:24:53	16924		16	389120	246784	100	0
1970/01/01_08:24:54	16924		16	389120	246784	86	0
1970/01/01_08:24:55	16924		16	389120	246784	102	0
1970/01/01_08:24:56	16924		16	389120	246784	99	0
1970/01/01_08:24:57	16924		16	389120	246784	100	0
1970/01/01_08:24:58	16924		16	389120	246784	100	0
1970/01/01_08:24:59	16924		16	389120	246784	86	0
1970/01/01_08:25:00	16924		16	389120	246784	100	0
1970/01/01_08:25:01	16924		16	389120	246784	100	0
1970/01/01_08:25:02	16924		16	389120	246784	102	0
1970/01/01_08:25:03	16924		16	389120	246784	86	0
1970/01/01_08:25:05	16924		16	389120	246784	100	0
1970/01/01_08:25:06	16924		16	389120	246784	100	0
1970/01/01_08:25:07	16924		16	389120	246784	100	0
1970/01/01_08:25:08	16924		16	347136	207872	94	0
1970/01/01_08:25:09	16924		16	389120	246784	100	0
1970/01/01_08:25:10	16924		16	389120	246784	100	0
1970/01/01_08:25:11	16924		16	389120	246784	100	0
1970/01/01_08:25:12	16924		16	389120	246784	100	0
1970/01/01_08:25:13	16924		16	389120	247808	100	0
1970/01/01_08:25:14	16924		16	389120	247808	100	0
1970/01/01_08:25:15	16924		16	348160	208896	88	0
1970/01/01_08:25:16	16924		16	390144	246784	100	0
1970/01/01_08:25:17	16924		16	390144	247808	100	0
1970/01/01_08:25:18	16924		16	390144	247808	100	0
1970/01/01_08:25:19	16924		16	390144	247808	100	0
1970/01/01_08:25:20	16924		16	390144	246784	90	0
1970/01/01_08:25:21	16924		16	390144	247808	102	0
1970/01/01_08:25:22	16924		16	390144	247808	100	0
1970/01/01_08:25:23	16924		16	390144	247808	100	0
1970/01/01_08:25:24	16924		16	390144	247808	100	0
1970/01/01_08:25:25	16924		16	390144	248832	100	0
1970/01/01_08:25:26	16924		16	390144	248832	100	0
1970/01/01_08:25:27	16924		16	390144	246784	100	0
1970/01/01_08:25:28	16924		16	390144	246784	100	0
1970/01/01_08:25:29	16924		16	390144	247808	100	0
1970/01/01_08:25:30	16924		16	390144	248832	100	0
1970/01/01_08:25:31	16924		16	390144	248832	100	0
1970/01/01_08:25:32	16924		16	390144	248832	100	0
1970/01/01_08:25:33	16924		16	390144	248832	100	0
1970/01/01_08:25:34	16924		16	390144	246784	100	0
1970/01/01_08:25:35	16924		16	390144	247808	100	0
1970/01/01_08:25:36	16924		16	390144	247808	100	0
1970/01/01_08:25:37	16924		16	390144	247808	100	0
1970/01/01_08:25:38	16924		16	390144	248832	100	0
1970/01/01_08:25:39	16924		16	390144	248832	100	0
1970/01/01_08:25:40	16924		16	390144	246784	100	0
1970/01/01_08:25:41	16924		16	390144	246784	100	0
1970/01/01_08:25:42	16924		16	390144	247808	100	0
1970/01/01_08:25:44	16924		16	390144	247808	100	0
1970/01/01_08:25:45	16924		16	390144	247808	100	0
1970/01/01_08:25:46	16924		16	390144	247808	100	0
1970/01/01_08:25:47	16924		16	348160	206848	90	0
1970/01/01_08:25:48	16924		16	390144	246784	100	0
1970/01/01_08:25:49	16924		16	390144	247808	102	0
1970/01/01_08:25:50	16924		16	390144	247808	100	0
1970/01/01_08:25:51	16924		16	390144	247808	102	0
1970/01/01_08:25:52	16924		16	390144	247808	102	0
1970/01/01_08:25:53	16924		16	390144	247808	100	0
1970/01/01_08:25:54	16924		16	390144	248832	100	0
1970/01/01_08:25:55	16924		16	390144	246784	100	0
1970/01/01_08:25:56	16924		16	390144	246784	102	0
1970/01/01_08:25:57	16924		16	390144	247808	100	0
1970/01/01_08:25:58	16924		16	390144	247808	100	0
