列表,业务,云端标注,本地标注,云端&本地结果对比,是否集内,是否800条,业务名,标注结果,标注操作
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_077_M105_coder.wav.pcm,map,从这里怎么到南环路鑫民超市,从这里怎么到南环路鑫民超市,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""南环路鑫民超市"",
  ""poi"":""南环路鑫民超市"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_084_F001_coder.wav.pcm,map,从这里怎么去齐齐哈尔市,从这里怎么去齐齐哈尔市,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""齐齐哈尔"",
  ""city"":""齐齐哈尔市"",
  ""ori_loc"":""齐齐哈尔市"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_091_F002_coder.wav.pcm,map,如何去潜山县食品药品监督管理局,如何去潜山县食品药品监督管理局,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""潜山县"",
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""潜山县食品药品监督管理局"",
  ""areaAddr"":""潜山"",
  ""poi"":""食品药品监督管理局"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_098_F002_coder.wav.pcm,map,洛阳市怎么去,洛阳市怎么去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""洛阳"",
  ""city"":""洛阳市"",
  ""ori_loc"":""洛阳市"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_105_F003_coder.wav.pcm,map,辽宁省鞍山市如何去,辽宁省鞍山市如何去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""鞍山"",
  ""province"":""辽宁省"",
  ""city"":""鞍山市"",
  ""ori_loc"":""辽宁省鞍山市"",
  ""provinceAddr"":""辽宁"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_112_F004_coder.wav.pcm,map,到井岗公交站,到井岗公交站,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""井岗公交站"",
  ""poi"":""井岗公交站"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_119_F004_coder.wav.pcm,map,到合肥市的舒城路小学,到合肥市的舒城路小学,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""合肥"",
  ""city"":""合肥市"",
  ""ori_loc"":""合肥市的舒城路小学"",
  ""poi"":""舒城路小学"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_126_F005_coder.wav.pcm,map,到红府超市如何去,到红府超市如何去,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""红府超市"",
  ""poi"":""红府超市"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_133_F006_coder.wav.pcm,map,去上南路德州路路口如何走,去上南路德州路路口如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""上南路德州路路口"",
  ""ori_loc"":""上南路德州路路口"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_140_F006_coder.wav.pcm,map,去唐桥路,去唐桥路,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""唐桥路"",
  ""ori_loc"":""唐桥路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_147_F007_coder.wav.pcm,map,去韶关市沙洲路如何走,去韶关市沙洲路如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""韶关"",
  ""city"":""韶关市"",
  ""street"":""沙洲路"",
  ""ori_loc"":""韶关市沙洲路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_154_F008_coder.wav.pcm,map,如何到上海市宝山区禾盛源食府,如何到上海市宝山区禾盛源食府,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""宝山区"",
  ""cityAddr"":""上海"",
  ""city"":""上海市"",
  ""ori_loc"":""上海市宝山区禾盛源食府"",
  ""areaAddr"":""宝山"",
  ""poi"":""禾盛源食府"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_161_F009_coder.wav.pcm,map,如何去上海市宝山区高境欣苑,如何去上海市宝山区高境欣苑,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""宝山区"",
  ""cityAddr"":""上海"",
  ""city"":""上海市"",
  ""ori_loc"":""上海市宝山区高境欣苑"",
  ""areaAddr"":""宝山"",
  ""poi"":""高境欣苑"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_168_F009_coder.wav.pcm,map,如何走才能到四川省德阳市旌阳区香山巷香山小区,如何走才能到四川省德阳市旌阳区香山巷香山小区,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""旌阳区"",
  ""cityAddr"":""德阳"",
  ""province"":""四川省"",
  ""city"":""德阳市"",
  ""ori_loc"":""四川省德阳市旌阳区香山巷香山小区"",
  ""areaAddr"":""旌阳"",
  ""provinceAddr"":""四川"",
  ""poi"":""香山巷香山小区"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_175_F010_coder.wav.pcm,map,导航到安徽省合作化南路绿城百合公寓,导航到安徽省合作化南路绿城百合公寓,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""province"":""安徽省"",
  ""city"":""CURRENT_CITY"",
  ""street"":""合作化南路"",
  ""ori_loc"":""安徽省合作化南路绿城百合公寓"",
  ""provinceAddr"":""安徽"",
  ""poi"":""绿城百合公寓"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_182_F011_coder.wav.pcm,map,导航到胡适故居,导航到胡适故居,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""胡适故居"",
  ""poi"":""胡适故居"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_189_F011_coder.wav.pcm,map,带我到庐州太太,带我到庐州太太,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""庐州太太"",
  ""poi"":""庐州太太"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_196_F012_coder.wav.pcm,map,带我去北京市朝阳区云顶时尚台球俱乐部,带我去北京市朝阳区云顶时尚台球俱乐部,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""朝阳区"",
  ""cityAddr"":""北京"",
  ""city"":""北京市"",
  ""ori_loc"":""北京市朝阳区云顶时尚台球俱乐部"",
  ""areaAddr"":""朝阳区"",
  ""poi"":""云顶时尚台球俱乐部"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_203_M001_coder.wav.pcm,map,帮我导航到北京电影学院,帮我导航到北京电影学院,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""北京电影学院"",
  ""poi"":""北京电影学院"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_210_M001_coder.wav.pcm,map,帮我查一下从这里到北京北农路7号北京农学院怎么走,帮我查一下从这里到北京北农路七号北京农学院怎么走,FALSE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""北京"",
  ""city"":""北京市"",
  ""street"":""北农路"",
  ""ori_loc"":""北京北农路七号北京农学院"",
  ""houseNumber"":""七号"",
  ""poi"":""北京农学院"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_217_F013_coder.wav.pcm,map,帮我查一下从这里到龙幡路怎么走,帮我查一下从这里到龙幡路怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""龙幡路"",
  ""ori_loc"":""龙幡路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_224_F014_coder.wav.pcm,map,帮我查一下花冲公园到红豆网吧可以怎么走,帮我查一下花冲公园到红豆网吧可以怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""花冲公园"",
  ""poi"":""花冲公园"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""红豆网吧"",
  ""poi"":""红豆网吧"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_231_M002_coder.wav.pcm,map,帮我查查从这里到安徽省怎么走,帮我查查从这里到安徽省怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""province"":""安徽省"",
  ""ori_loc"":""安徽省"",
  ""provinceAddr"":""安徽"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_238_M002_coder.wav.pcm,map,帮我查查从这里去安通电子公司宿舍怎么走,帮我查查从这里去安通电子公司宿舍怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""安通电子公司宿舍"",
  ""poi"":""安通电子公司宿舍"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_245_F015_coder.wav.pcm,map,怎么走才能到胜利路和淮河路交叉路口,怎么走才能到胜利路和淮河路交叉路口,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""streets"":""淮河路"",
  ""city"":""CURRENT_CITY"",
  ""street"":""胜利路"",
  ""ori_loc"":""胜利路和淮河路交叉路口"",
  ""type"":""LOC_CROSS""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_252_F016_coder.wav.pcm,map,我想到天地人科苑该如何走,我想到天地人科苑该如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""天地人科苑"",
  ""poi"":""天地人科苑"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_259_F016_coder.wav.pcm,map,我想到文园小区如何走,我想到文园小区如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""文园小区"",
  ""poi"":""文园小区"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_266_M003_coder.wav.pcm,map,我想到湘潭市五行饭庄怎么走,我想到湘潭市五行饭庄怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""湘潭"",
  ""city"":""湘潭市"",
  ""ori_loc"":""湘潭市五行饭庄"",
  ""poi"":""五行饭庄"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_273_F017_coder.wav.pcm,map,我想去三河大酒店应该怎么走,我想去三河大酒店应该怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""三河大酒店"",
  ""poi"":""三河大酒店"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_280_F017_coder.wav.pcm,map,我想去五里墩邮政支局该如何走,我想去五里墩邮政支局该如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""五里墩邮政支局"",
  ""poi"":""五里墩邮政支局"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_287_F018_coder.wav.pcm,map,我想去周谷堆路和滨河路岔路口应该怎么走,我想去周谷堆路和滨河路岔路口应该怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""streets"":""滨河路"",
  ""city"":""CURRENT_CITY"",
  ""street"":""周谷堆路"",
  ""ori_loc"":""周谷堆路和滨河路岔路口"",
  ""type"":""LOC_CROSS""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_294_F019_coder.wav.pcm,map,我想去远大路丰张线路口,我想去远大路丰张线路口,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""street"":""远大路"",
  ""ori_loc"":""远大路丰张"",
  ""poi"":""丰张"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_301_F019_coder.wav.pcm,map,我想导航到合肥市敬亭山路,我想导航到合肥市敬亭山路,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""合肥"",
  ""city"":""合肥市"",
  ""street"":""敬亭山路"",
  ""ori_loc"":""合肥市敬亭山路"",
  ""type"":""LOC_STREET""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_308_F019_coder.wav.pcm,map,我想开车到新乡市如何走,我想开车到新乡市如何走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""新乡"",
  ""city"":""新乡市"",
  ""ori_loc"":""新乡市"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_315_F020_coder.wav.pcm,map,我想开车去榆林市怎么走,我想开车去榆林市怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""cityAddr"":""榆林"",
  ""city"":""榆林市"",
  ""ori_loc"":""榆林市"",
  ""type"":""LOC_BASIC""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_322_F020_coder.wav.pcm,map,我想知道如何到纵阳路与和平路岔路口,我想知道如何到纵阳路与和平路岔路口,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""streets"":""和平路"",
  ""city"":""CURRENT_CITY"",
  ""street"":""纵阳路"",
  ""ori_loc"":""纵阳路与和平路岔路口"",
  ""type"":""LOC_CROSS""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_329_F020_coder.wav.pcm,map,我想知道怎么到钼都路君山东路路口,我想知道怎么到钼都路君山东路路口,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""streets"":""君山东路"",
  ""city"":""CURRENT_CITY"",
  ""street"":""钼都路"",
  ""ori_loc"":""钼都路君山东路路口"",
  ""type"":""LOC_CROSS""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_336_F021_coder.wav.pcm,map,我要到农家小院该怎么走,我要到农家小院该怎么走,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""农家小院"",
  ""poi"":""农家小院"",
  ""type"":""LOC_POI""
 }
}",ROUTE
\StorageCard\PcmRes\isr\6000_Enc_NoWavHead\10map_route\10map_route_343_F021_coder.wav.pcm,map,我要到闸北区信谊大药房岭南店,我要到闸北区信谊大药房岭南店,TRUE,0,是,map,"{
 ""startLoc"":{
  ""city"":""CURRENT_CITY"",
  ""poi"":""CURRENT_POI"",
  ""type"":""LOC_POI""
 },
 ""endLoc"":{
  ""area"":""闸北区"",
  ""city"":""CURRENT_CITY"",
  ""ori_loc"":""闸北区信谊大药房岭南店"",
  ""areaAddr"":""闸北"",
  ""poi"":""信谊大药房岭南店"",
  ""type"":""LOC_POI""
 }
}",ROUTE
