strAudioPath,pcm_time(UTC ms),sr_result
msc_log_2017-07-04Tue15-51-56.831000.pcm,1499154716831.0,换个其他的人唱的
msc_log_2017-07-04Tue15-52-01.708000.pcm,1499154721708.0,不想听这首歌了换一首
msc_log_2017-07-04Tue15-52-06.787000.pcm,1499154726787.0,换个粤语版的
msc_log_2017-07-04Tue15-52-11.056000.pcm,1499154731056.0,我要听首歌
msc_log_2017-07-04Tue15-52-14.985000.pcm,1499154734985.0,我要听一首粤语歌
msc_log_2017-07-04Tue15-52-19.464000.pcm,1499154739464.0,要听刘德华的粤语歌
msc_log_2017-07-04Tue15-52-23.882000.pcm,1499154743882.0,听刘德华的爱你一万年
msc_log_2017-07-04Tue15-52-29.182000.pcm,1499154749182.0,我想听儿歌唱的响亮
msc_log_2017-07-04Tue15-52-33.925000.pcm,1499154753925.0,不想听儿歌了新春乐吧
msc_log_2017-07-04Tue15-52-39.197000.pcm,1499154759197.0,听听钢琴曲也行
msc_log_2017-07-04Tue15-52-43.391000.pcm,1499154763391.0,那就郎朗的吧
msc_log_2017-07-04Tue15-52-47.682000.pcm,1499154767682.0,我要听逆流成河
msc_log_2017-07-04Tue15-52-52.032000.pcm,1499154772032.0,有没有粤语版的逆流成河
msc_log_2017-07-04Tue15-52-56.974000.pcm,1499154776974.0,换个其他人唱的
msc_log_2017-07-04Tue15-53-01.421000.pcm,1499154781421.0,音乐暂停一下
msc_log_2017-07-04Tue15-53-05.264000.pcm,1499154785264.0,播放阿楚姑娘
msc_log_2017-07-04Tue15-53-09.363000.pcm,1499154789363.0,我要听原唱的版本
msc_log_2017-07-04Tue15-53-13.869000.pcm,1499154793869.0,暂停屏幕太暗了
msc_log_2017-07-04Tue15-53-18.262000.pcm,1499154798262.0,继续播放
msc_log_2017-07-04Tue15-53-21.866000.pcm,1499154801866.0,我想听小亮的歌
msc_log_2017-07-04Tue15-53-26.180000.pcm,1499154806180.0,听他唱的英文歌
msc_log_2017-07-04Tue15-53-30.794000.pcm,1499154810794.0,帮我收藏一下这首歌
msc_log_2017-07-04Tue15-53-35.113000.pcm,1499154815113.0,可以单曲循环播放吗
msc_log_2017-07-04Tue15-53-39.844000.pcm,1499154819844.0,切换下一首
msc_log_2017-07-04Tue15-53-44.127000.pcm,1499154824127.0,梦醒时分
msc_log_2017-07-04Tue15-53-47.818000.pcm,1499154827818.0,切换下一首
msc_log_2017-07-04Tue15-53-52.301000.pcm,1499154832301.0,声音小一点吧
msc_log_2017-07-04Tue15-53-55.952000.pcm,1499154835952.0,暂停
msc_log_2017-07-04Tue15-53-59.878000.pcm,1499154839878.0,我要听中国心
msc_log_2017-07-04Tue15-54-03.817000.pcm,1499154843817.0,帮我单曲循环中国心
msc_log_2017-07-04Tue15-54-08.437000.pcm,1499154848437.0,给我收藏这首歌
msc_log_2017-07-04Tue15-54-12.546000.pcm,1499154852546.0,暂停一下
msc_log_2017-07-04Tue15-54-16.192000.pcm,1499154856192.0,小苹果
msc_log_2017-07-04Tue15-54-19.931000.pcm,1499154859931.0,放一下筷子兄弟的小苹果
msc_log_2017-07-04Tue15-54-25.029000.pcm,1499154865029.0,换个别的人唱的
msc_log_2017-07-04Tue15-54-29.208000.pcm,1499154869208.0,循环播放这首歌
msc_log_2017-07-04Tue15-54-33.440000.pcm,1499154873440.0,放首歌听听
msc_log_2017-07-04Tue15-54-37.957000.pcm,1499154877957.0,换个柔爻观点的
msc_log_2017-07-04Tue15-54-42.363000.pcm,1499154882363.0,再找个相似的播放
msc_log_2017-07-04Tue15-54-46.599000.pcm,1499154886599.0,我想听烟火
msc_log_2017-07-04Tue15-54-50.830000.pcm,1499154890830.0,放一下他唱的其他歌
msc_log_2017-07-04Tue15-54-55.754000.pcm,1499154895754.0,切换到下一曲
msc_log_2017-07-04Tue15-54-59.624000.pcm,1499154899624.0,再听一遍烟火
msc_log_2017-07-04Tue15-55-04.085000.pcm,1499154904085.0,收藏烟火
msc_log_2017-07-04Tue15-55-07.989000.pcm,1499154907989.0,播放海顿的音乐
msc_log_2017-07-04Tue15-55-11.958000.pcm,1499154911958.0,播放海顿的交响乐
msc_log_2017-07-04Tue15-55-16.345000.pcm,1499154916345.0,换个其他人的交响乐
msc_log_2017-07-04Tue15-55-21.923000.pcm,1499154921923.0,播放值得
msc_log_2017-07-04Tue15-55-25.825000.pcm,1499154925825.0,有其他人唱的版本吗
msc_log_2017-07-04Tue15-55-30.507000.pcm,1499154930507.0,给我来一个粤语版值得
msc_log_2017-07-04Tue15-55-35.472000.pcm,1499154935472.0,切换下一曲
msc_log_2017-07-04Tue15-55-40.082000.pcm,1499154940082.0,暂停播放
msc_log_2017-07-04Tue15-55-43.802000.pcm,1499154943802.0,老鼠爱大米
msc_log_2017-07-04Tue15-55-47.585000.pcm,1499154947585.0,有没有英文版的老鼠爱大米
msc_log_2017-07-04Tue15-55-52.524000.pcm,1499154952524.0,暂停一下
msc_log_2017-07-04Tue15-55-56.179000.pcm,1499154956179.0,切换下一首
msc_log_2017-07-04Tue15-56-00.454000.pcm,1499154960454.0,来一首铿锵玫瑰
msc_log_2017-07-04Tue15-56-04.803000.pcm,1499154964803.0,换一首军歌
msc_log_2017-07-04Tue15-56-08.790000.pcm,1499154968790.0,表达想家的军歌有没有
msc_log_2017-07-04Tue15-56-13.595000.pcm,1499154973595.0,换个其他人唱的
msc_log_2017-07-04Tue15-56-18.095000.pcm,1499154978095.0,我想听吻别
msc_log_2017-07-04Tue15-56-22.403000.pcm,1499154982403.0,不是我要的是英文版的
msc_log_2017-07-04Tue15-56-27.334000.pcm,1499154987334.0,下载下载
msc_log_2017-07-04Tue15-56-31.327000.pcm,1499154991327.0,叫我来巡山这首歌播放一下
msc_log_2017-07-04Tue15-56-36.961000.pcm,1499154996961.0,换下一首歌曲
msc_log_2017-07-04Tue15-56-41.107000.pcm,1499155001107.0,先把音乐暂停一下
msc_log_2017-07-04Tue15-56-45.943000.pcm,1499155005943.0,有没有dj版的
msc_log_2017-07-04Tue15-56-50.179000.pcm,1499155010179.0,你唱首歌听吧
msc_log_2017-07-04Tue15-56-54.631000.pcm,1499155014631.0,有没有纯音乐
msc_log_2017-07-04Tue15-57-07.673000.pcm,1499155027673.0,给我来首舞曲吧
msc_log_2017-07-04Tue15-57-21.049000.pcm,1499155041049.0,有舞曲跳湖吗
msc_log_2017-07-04Tue15-57-25.576000.pcm,1499155045576.0,泥鳅这首歌
msc_log_2017-07-04Tue15-57-29.338000.pcm,1499155049338.0,换一首歌
msc_log_2017-07-04Tue15-57-33.374000.pcm,1499155053374.0,暂停播放
msc_log_2017-07-04Tue15-57-37.093000.pcm,1499155057093.0,退出吧
msc_log_2017-07-04Tue15-57-40.764000.pcm,1499155060764.0,我要听陈奕迅的歌
msc_log_2017-07-04Tue15-57-44.856000.pcm,1499155064856.0,换一首别的歌
msc_log_2017-07-04Tue15-57-49.383000.pcm,1499155069383.0,循环播放她的歌
msc_log_2017-07-04Tue15-57-53.672000.pcm,1499155073672.0,帮我收藏她的歌
msc_log_2017-07-04Tue15-57-57.795000.pcm,1499155077795.0,我要听崔格子
msc_log_2017-07-04Tue15-58-01.616000.pcm,1499155081616.0,换下一首听
msc_log_2017-07-04Tue15-58-05.726000.pcm,1499155085726.0,给我换个dj版的
msc_log_2017-07-04Tue15-58-10.110000.pcm,1499155090110.0,听听英文版的怎么样
msc_log_2017-07-04Tue15-58-14.549000.pcm,1499155094549.0,三生三世
msc_log_2017-07-04Tue15-58-18.955000.pcm,1499155098955.0,放一下电视剧的其他插曲
msc_log_2017-07-04Tue15-58-24.079000.pcm,1499155104079.0,我想收藏一下这首歌
msc_log_2017-07-04Tue15-58-28.637000.pcm,1499155108637.0,其他人唱的有没有
msc_log_2017-07-04Tue15-58-32.913000.pcm,1499155112913.0,帮我把歌曲暂停一下
msc_log_2017-07-04Tue15-58-37.373000.pcm,1499155117373.0,请播放凤凰传奇
msc_log_2017-07-04Tue15-58-42.262000.pcm,1499155122262.0,帮我看一下凤凰传奇的荷塘月色
msc_log_2017-07-04Tue15-58-48.028000.pcm,1499155128028.0,单曲循环播放荷塘月色
msc_log_2017-07-04Tue15-58-52.976000.pcm,1499155132976.0,收藏一下她们的歌
msc_log_2017-07-04Tue15-58-57.309000.pcm,1499155137309.0,给我放一首刘德华的歌
msc_log_2017-07-04Tue15-59-01.794000.pcm,1499155141794.0,就听谢谢你的爱吧
msc_log_2017-07-04Tue15-59-06.807000.pcm,1499155146807.0,放一下刘德华的其他歌曲
msc_log_2017-07-04Tue15-59-11.443000.pcm,1499155151443.0,打开网络歌曲
msc_log_2017-07-04Tue15-59-15.538000.pcm,1499155155538.0,听网络最流行的歌曲
msc_log_2017-07-04Tue15-59-19.875000.pcm,1499155159875.0,开始播放
msc_log_2017-07-04Tue15-59-23.671000.pcm,1499155163671.0,播放杜德伟的歌
msc_log_2017-07-04Tue15-59-27.757000.pcm,1499155167757.0,播放她的成名歌曲
msc_log_2017-07-04Tue15-59-32.277000.pcm,1499155172277.0,有别人翻唱的吗
msc_log_2017-07-04Tue15-59-36.615000.pcm,1499155176615.0,好吧换一首情人
msc_log_2017-07-04Tue15-59-41.083000.pcm,1499155181083.0,收藏一下情人
msc_log_2017-07-04Tue15-59-45.193000.pcm,1499155185193.0,我想听音乐
msc_log_2017-07-04Tue15-59-49.364000.pcm,1499155189364.0,我想听dj歌曲
msc_log_2017-07-04Tue15-59-53.671000.pcm,1499155193671.0,换一首动感的舞曲
msc_log_2017-07-04Tue15-59-57.970000.pcm,1499155197970.0,切换下一首
msc_log_2017-07-04Tue16-00-03.055000.pcm,1499155203055.0,播放歌
msc_log_2017-07-04Tue16-00-06.754000.pcm,1499155206754.0,英文的
msc_log_2017-07-04Tue16-00-10.243000.pcm,1499155210243.0,声音最大
msc_log_2017-07-04Tue16-00-13.886000.pcm,1499155213886.0,搜藏吧
msc_log_2017-07-04Tue16-00-17.615000.pcm,1499155217615.0,我想听风雨兼程
msc_log_2017-07-04Tue16-00-21.981000.pcm,1499155221981.0,这首歌是哪个专辑的
msc_log_2017-07-04Tue16-00-26.553000.pcm,1499155226553.0,我要听这个专辑的所有歌
msc_log_2017-07-04Tue16-00-31.728000.pcm,1499155231728.0,这首歌不好听下一首
msc_log_2017-07-04Tue16-00-36.407000.pcm,1499155236407.0,播放音乐
msc_log_2017-07-04Tue16-00-40.245000.pcm,1499155240245.0,这首歌谁唱的
msc_log_2017-07-04Tue16-00-44.416000.pcm,1499155244416.0,有没有男生版的这首歌
msc_log_2017-07-04Tue16-00-49.566000.pcm,1499155249566.0,播放下一首
msc_log_2017-07-04Tue16-00-54.019000.pcm,1499155254019.0,播放李健的风吹麦浪
msc_log_2017-07-04Tue16-00-58.713000.pcm,1499155258713.0,要现场版的
msc_log_2017-07-04Tue16-01-03.289000.pcm,1499155263289.0,我想听他的其他歌
msc_log_2017-07-04Tue16-01-08.068000.pcm,1499155268068.0,开始播放
msc_log_2017-07-04Tue16-01-12.115000.pcm,1499155272115.0,吻别
msc_log_2017-07-04Tue16-01-24.474000.pcm,1499155284474.0,吻别谁唱的
msc_log_2017-07-04Tue16-01-28.575000.pcm,1499155288575.0,我要听她的歌
msc_log_2017-07-04Tue16-01-32.894000.pcm,1499155292894.0,英文版的有没有
msc_log_2017-07-04Tue16-01-37.506000.pcm,1499155297506.0,给我放歌
msc_log_2017-07-04Tue16-01-41.656000.pcm,1499155301656.0,给我放个女歌手的歌曲
msc_log_2017-07-04Tue16-01-46.485000.pcm,1499155306485.0,切换下一首歌曲
msc_log_2017-07-04Tue16-01-50.841000.pcm,1499155310841.0,今天其他人唱的
msc_log_2017-07-04Tue16-01-55.481000.pcm,1499155315481.0,请播放小苹果
msc_log_2017-07-04Tue16-01-59.289000.pcm,1499155319289.0,小苹果出自哪个专辑
msc_log_2017-07-04Tue16-02-03.886000.pcm,1499155323886.0,我要听这个专辑的歌
msc_log_2017-07-04Tue16-02-08.253000.pcm,1499155328253.0,播放歌曲女人花
msc_log_2017-07-04Tue16-02-13.377000.pcm,1499155333377.0,莲花水唱的
msc_log_2017-07-04Tue16-02-17.465000.pcm,1499155337465.0,我要听她的歌
msc_log_2017-07-04Tue16-02-21.443000.pcm,1499155341443.0,换他的下一首歌曲
msc_log_2017-07-04Tue16-02-25.801000.pcm,1499155345801.0,我的好兄弟
msc_log_2017-07-04Tue16-02-29.487000.pcm,1499155349487.0,我的好兄弟谁唱的
msc_log_2017-07-04Tue16-02-37.811000.pcm,1499155357811.0,我想听女的唱的我的好兄弟
msc_log_2017-07-04Tue16-02-43.056000.pcm,1499155363056.0,有没有dj版的我的好兄弟
msc_log_2017-07-04Tue16-02-48.008000.pcm,1499155368008.0,随机放首歌
msc_log_2017-07-04Tue16-02-52.093000.pcm,1499155372093.0,男歌手唱的
msc_log_2017-07-04Tue16-02-56.144000.pcm,1499155376144.0,不要中文的来个英文歌
msc_log_2017-07-04Tue16-03-01.080000.pcm,1499155381080.0,给我来一首单身情歌
msc_log_2017-07-04Tue16-03-05.656000.pcm,1499155385656.0,播放下一首
msc_log_2017-07-04Tue16-03-09.422000.pcm,1499155389422.0,单身情歌出自哪个专辑
msc_log_2017-07-04Tue16-03-14.289000.pcm,1499155394289.0,我要听这个专辑的歌
msc_log_2017-07-04Tue16-03-19.267000.pcm,1499155399267.0,听老人与海
msc_log_2017-07-04Tue16-03-23.202000.pcm,1499155403202.0,有英文版的吗
msc_log_2017-07-04Tue16-03-27.760000.pcm,1499155407760.0,给我听一下吕珊版老人与海
msc_log_2017-07-04Tue16-03-33.136000.pcm,1499155413136.0,换下一首吧
msc_log_2017-07-04Tue16-03-37.552000.pcm,1499155417552.0,不想听这个了
msc_log_2017-07-04Tue16-03-41.446000.pcm,1499155421446.0,落花
msc_log_2017-07-04Tue16-03-45.091000.pcm,1499155425091.0,听一下林心如的落花
msc_log_2017-07-04Tue16-03-50.148000.pcm,1499155430148.0,我要听美人心计的歌曲
msc_log_2017-07-04Tue16-03-54.792000.pcm,1499155434792.0,美人心计的插曲我都想听
msc_log_2017-07-04Tue16-03-59.890000.pcm,1499155439890.0,放首歌
msc_log_2017-07-04Tue16-04-04.050000.pcm,1499155444050.0,放我是歌手里面的歌
msc_log_2017-07-04Tue16-04-09.689000.pcm,1499155449689.0,放我是歌手第二季的歌
msc_log_2017-07-04Tue16-04-15.033000.pcm,1499155455033.0,我是歌手黄丽玲的歌
msc_log_2017-07-04Tue16-04-20.144000.pcm,1499155460144.0,播放心甘情愿
msc_log_2017-07-04Tue16-04-24.551000.pcm,1499155464551.0,心甘情愿水唱的
msc_log_2017-07-04Tue16-04-28.853000.pcm,1499155468853.0,他还有别的专辑吗
msc_log_2017-07-04Tue16-04-33.657000.pcm,1499155473657.0,听一下专辑里的歌曲吧
msc_log_2017-07-04Tue16-04-38.254000.pcm,1499155478254.0,给我来一首单身情歌
msc_log_2017-07-04Tue16-04-43.371000.pcm,1499155483371.0,女的唱的单身情歌有没有
msc_log_2017-07-04Tue16-04-48.544000.pcm,1499155488544.0,单身情歌谁唱的
msc_log_2017-07-04Tue16-04-52.981000.pcm,1499155492981.0,我要听他的其他歌
msc_log_2017-07-04Tue16-04-57.751000.pcm,1499155497751.0,切换上一首歌
msc_log_2017-07-04Tue16-05-01.690000.pcm,1499155501690.0,放首歌听
msc_log_2017-07-04Tue16-05-06.003000.pcm,1499155506003.0,放三生三世里面的歌曲
msc_log_2017-07-04Tue16-05-10.620000.pcm,1499155510620.0,要主题曲
msc_log_2017-07-04Tue16-05-14.310000.pcm,1499155514310.0,听音乐邓紫棋单行的轨道
msc_log_2017-07-04Tue16-05-20.023000.pcm,1499155520023.0,听其他人唱的单行的轨道
msc_log_2017-07-04Tue16-05-25.198000.pcm,1499155525198.0,听邓紫棋的其他歌
msc_log_2017-07-04Tue16-05-29.921000.pcm,1499155529921.0,退出吧
msc_log_2017-07-04Tue16-05-33.434000.pcm,1499155533434.0,来两个区
msc_log_2017-07-04Tue16-05-37.280000.pcm,1499155537280.0,要抒情的
msc_log_2017-07-04Tue16-05-40.976000.pcm,1499155540976.0,这水唱的
msc_log_2017-07-04Tue16-05-44.834000.pcm,1499155544834.0,下载这首歌
msc_log_2017-07-04Tue16-05-50.274000.pcm,1499155550274.0,我要听歌曲重要的决定
msc_log_2017-07-04Tue16-05-54.886000.pcm,1499155554886.0,重要的决定谁唱的
msc_log_2017-07-04Tue16-05-59.662000.pcm,1499155559662.0,帮我播放下一曲
msc_log_2017-07-04Tue16-06-04.077000.pcm,1499155564077.0,声音太大了
msc_log_2017-07-04Tue16-06-08.484000.pcm,1499155568484.0,给我找一首成都
msc_log_2017-07-04Tue16-06-12.775000.pcm,1499155572775.0,我要听dj版成都
msc_log_2017-07-04Tue16-06-17.343000.pcm,1499155577343.0,有没有女生版的
msc_log_2017-07-04Tue16-06-21.984000.pcm,1499155581984.0,来一首敢问路在何方
msc_log_2017-07-04Tue16-06-27.305000.pcm,1499155587305.0,不是路在何方是小幸运
msc_log_2017-07-04Tue16-06-32.951000.pcm,1499155592951.0,快进到高潮部分
msc_log_2017-07-04Tue16-06-37.399000.pcm,1499155597399.0,声音调到最大
msc_log_2017-07-04Tue16-06-41.758000.pcm,1499155601758.0,怒放的生命
msc_log_2017-07-04Tue16-06-45.781000.pcm,1499155605781.0,怒放的生命是谁唱的
msc_log_2017-07-04Tue16-06-50.936000.pcm,1499155610936.0,我还想听他的歌
msc_log_2017-07-04Tue16-06-55.831000.pcm,1499155615831.0,播放上一曲
msc_log_2017-07-04Tue16-06-59.820000.pcm,1499155619820.0,帮我开启循环播放
msc_log_2017-07-04Tue16-07-04.767000.pcm,1499155624767.0,我想听有何不可
msc_log_2017-07-04Tue16-07-09.095000.pcm,1499155629095.0,要女歌手唱的
msc_log_2017-07-04Tue16-07-13.290000.pcm,1499155633290.0,有何不可原唱是谁
msc_log_2017-07-04Tue16-07-18.070000.pcm,1499155638070.0,听听原创的其他歌
msc_log_2017-07-04Tue16-07-23.052000.pcm,1499155643052.0,放张信哲的歌曲
msc_log_2017-07-04Tue16-07-27.194000.pcm,1499155647194.0,听张信哲的信仰
msc_log_2017-07-04Tue16-07-31.245000.pcm,1499155651245.0,上一曲
msc_log_2017-07-04Tue16-07-34.968000.pcm,1499155654968.0,循环播放这首歌
msc_log_2017-07-04Tue16-07-39.261000.pcm,1499155659261.0,不听这个了下一曲吧
msc_log_2017-07-04Tue16-07-52.904000.pcm,1499155672904.0,给我放一首劲歌
msc_log_2017-07-04Tue16-07-57.423000.pcm,1499155677423.0,我要听00后靓歌
msc_log_2017-07-04Tue16-08-01.806000.pcm,1499155681806.0,听00后最火的歌手有哪些
msc_log_2017-07-04Tue16-08-07.915000.pcm,1499155687915.0,00后的流行歌曲
msc_log_2017-07-04Tue16-08-12.679000.pcm,1499155692679.0,请放自由飞翔
msc_log_2017-07-04Tue16-08-17.188000.pcm,1499155697188.0,我要听粤语版的
msc_log_2017-07-04Tue16-08-21.227000.pcm,1499155701227.0,还有别的粤语歌曲吗
msc_log_2017-07-04Tue16-08-35.045000.pcm,1499155715045.0,给我放一首流行的粤语歌曲
msc_log_2017-07-04Tue16-08-40.005000.pcm,1499155720005.0,要刘德华的流行粤语歌
msc_log_2017-07-04Tue16-08-44.964000.pcm,1499155724964.0,请播放英文歌曲
msc_log_2017-07-04Tue16-08-49.296000.pcm,1499155729296.0,我要听英文dj
msc_log_2017-07-04Tue16-08-53.478000.pcm,1499155733478.0,换上一曲
msc_log_2017-07-04Tue16-08-57.342000.pcm,1499155737342.0,帮我单曲循环
msc_log_2017-07-04Tue16-09-01.663000.pcm,1499155741663.0,不想听加斯汀比伯的歌了
msc_log_2017-07-04Tue16-09-06.657000.pcm,1499155746657.0,推荐几首歌曲吧
msc_log_2017-07-04Tue16-09-11.081000.pcm,1499155751081.0,听最近流行的英文歌曲
msc_log_2017-07-04Tue16-09-15.964000.pcm,1499155755964.0,播放上一曲
msc_log_2017-07-04Tue16-09-19.655000.pcm,1499155759655.0,歌曲被驯服的象
msc_log_2017-07-04Tue16-09-24.165000.pcm,1499155764165.0,歌曲被驯服的象是谁唱的
msc_log_2017-07-04Tue16-09-29.225000.pcm,1499155769225.0,我要听她唱的别的歌
msc_log_2017-07-04Tue16-09-33.658000.pcm,1499155773658.0,来个单曲循环
msc_log_2017-07-04Tue16-09-38.268000.pcm,1499155778268.0,听几首90后的歌曲
msc_log_2017-07-04Tue16-09-42.982000.pcm,1499155782982.0,听90后流行歌曲
