strAudioPath,pcm_time(UTC ms),sr_result,套件,是否一致,一致率:91.43%,去除套件没有结果的一致率:99.61%
msc_log_2017-07-20Thu20-30-50.078000.pcm.SpeexWb.pcm,1.50E+12,请放亲爱的小孩,请放亲爱的小孩,TRUE,,
msc_log_2017-07-20Thu20-30-54.281000.pcm.SpeexWb.pcm,1.50E+12,先帮我收藏一下这首歌,先帮我收藏一下这首歌,TRUE,,
msc_log_2017-07-20Thu20-30-58.733000.pcm.SpeexWb.pcm,1.50E+12,暂停一下,暂停一下,TRUE,,
msc_log_2017-07-20Thu20-31-02.266000.pcm.SpeexWb.pcm,1.50E+12,不听这个了换下一曲,不听这个了换下一曲,TRUE,,
msc_log_2017-07-20Thu20-31-06.355000.pcm.SpeexWb.pcm,1.50E+12,换个人唱的,换个人唱的,TRUE,,
msc_log_2017-07-20Thu20-31-09.593000.pcm.SpeexWb.pcm,1.50E+12,播放克莱德曼,播放克莱德曼,TRUE,,
msc_log_2017-07-20Thu20-31-12.900000.pcm.SpeexWb.pcm,1.50E+12,循环播放,循环播放,TRUE,,
msc_log_2017-07-20Thu20-31-16.256000.pcm.SpeexWb.pcm,1.50E+12,这首歌有没有m v,这首歌有没有m v,TRUE,,
msc_log_2017-07-20Thu20-31-19.993000.pcm.SpeexWb.pcm,1.50E+12,播放,,FALSE,,
msc_log_2017-07-20Thu20-31-32.714000.pcm.SpeexWb.pcm,1.50E+12,唱世上只有妈妈好,唱世上只有妈妈好,TRUE,,
msc_log_2017-07-20Thu20-31-36.435000.pcm.SpeexWb.pcm,1.50E+12,要小朋友唱的,,FALSE,,
msc_log_2017-07-20Thu20-31-49.657000.pcm.SpeexWb.pcm,1.50E+12,切换到下一首歌曲,切换到下一首歌曲,TRUE,,
msc_log_2017-07-20Thu20-31-53.317000.pcm.SpeexWb.pcm,1.50E+12,换个人唱的,换个人唱的,TRUE,,
msc_log_2017-07-20Thu20-31-56.763000.pcm.SpeexWb.pcm,1.50E+12,可以听歌吗,可以听歌吗,TRUE,,
msc_log_2017-07-20Thu20-32-00.580000.pcm.SpeexWb.pcm,1.50E+12,我想听钢琴曲,我想听钢琴曲,TRUE,,
msc_log_2017-07-20Thu20-32-04.709000.pcm.SpeexWb.pcm,1.50E+12,来一首dj舞曲吧,来一首dj舞曲吧,TRUE,,
msc_log_2017-07-20Thu20-32-09.897000.pcm.SpeexWb.pcm,1.50E+12,把歌曲暂停一下,把歌曲暂停一下,TRUE,,
msc_log_2017-07-20Thu20-32-13.424000.pcm.SpeexWb.pcm,1.50E+12,从头播放一遍,从头播放一遍,TRUE,,
msc_log_2017-07-20Thu20-32-16.800000.pcm.SpeexWb.pcm,1.50E+12,放一首好听的歌,放一首好听的歌,TRUE,,
msc_log_2017-07-20Thu20-32-20.859000.pcm.SpeexWb.pcm,1.50E+12,我要听张杰的歌曲,我要听张杰的歌曲,TRUE,,
msc_log_2017-07-20Thu20-32-24.909000.pcm.SpeexWb.pcm,1.50E+12,听她的力战,,FALSE,,
msc_log_2017-07-20Thu20-32-37.785000.pcm.SpeexWb.pcm,1.50E+12,换下一首吧,换下一首吧,TRUE,,
msc_log_2017-07-20Thu20-32-41.111000.pcm.SpeexWb.pcm,1.50E+12,循环播放逆战,循环播放逆战,TRUE,,
msc_log_2017-07-20Thu20-32-44.984000.pcm.SpeexWb.pcm,1.50E+12,播放歌曲,播放歌曲,TRUE,,
msc_log_2017-07-20Thu20-32-48.456000.pcm.SpeexWb.pcm,1.50E+12,查看排行榜歌曲,查看排行榜歌曲,TRUE,,
msc_log_2017-07-20Thu20-32-52.163000.pcm.SpeexWb.pcm,1.50E+12,那就薛之谦的吧,那就薛之谦的吧,TRUE,,
msc_log_2017-07-20Thu20-32-55.620000.pcm.SpeexWb.pcm,1.50E+12,不是这首是我害怕,不是这首是我害怕,TRUE,,
msc_log_2017-07-20Thu20-32-59.691000.pcm.SpeexWb.pcm,1.50E+12,不错收藏一下,不错收藏一下,TRUE,,
msc_log_2017-07-20Thu20-33-03.121000.pcm.SpeexWb.pcm,1.50E+12,歌曲那一天,歌曲那一天,TRUE,,
msc_log_2017-07-20Thu20-33-06.713000.pcm.SpeexWb.pcm,1.50E+12,换个其他的人唱的,换个其他的人唱的,TRUE,,
msc_log_2017-07-20Thu20-33-11.391000.pcm.SpeexWb.pcm,1.50E+12,不想听这首歌了换一首,不想听这首歌了换一首,TRUE,,
msc_log_2017-07-20Thu20-33-16.162000.pcm.SpeexWb.pcm,1.50E+12,换个粤语版的,换个粤语版的,TRUE,,
msc_log_2017-07-20Thu20-33-20.058000.pcm.SpeexWb.pcm,1.50E+12,我要听首歌,我要听首歌,TRUE,,
msc_log_2017-07-20Thu20-33-23.678000.pcm.SpeexWb.pcm,1.50E+12,我要听一首粤语歌,我要听一首粤语歌,TRUE,,
msc_log_2017-07-20Thu20-33-28.347000.pcm.SpeexWb.pcm,1.50E+12,要听刘德华的粤语歌,要听刘德华的粤语歌,TRUE,,
msc_log_2017-07-20Thu20-33-33.007000.pcm.SpeexWb.pcm,1.50E+12,听刘德华的爱你一万年,听刘德华的爱你一万年,TRUE,,
msc_log_2017-07-20Thu20-33-37.281000.pcm.SpeexWb.pcm,1.50E+12,我想听儿歌唱的响亮,我想听儿歌唱的响亮,TRUE,,
msc_log_2017-07-20Thu20-33-41.698000.pcm.SpeexWb.pcm,1.50E+12,不想听儿歌了新春乐吧,,FALSE,,
msc_log_2017-07-20Thu20-33-55.962000.pcm.SpeexWb.pcm,1.50E+12,听听钢琴曲也行,听听钢琴曲也行,TRUE,,
msc_log_2017-07-20Thu20-33-59.489000.pcm.SpeexWb.pcm,1.50E+12,那就郎朗的吧,那就郎朗的吧,TRUE,,
msc_log_2017-07-20Thu20-34-02.826000.pcm.SpeexWb.pcm,1.50E+12,我要听逆流成河,我要听逆流成河,TRUE,,
msc_log_2017-07-20Thu20-34-06.521000.pcm.SpeexWb.pcm,1.50E+12,有没有粤语版的逆流成河,有没有粤语版的逆流成河,TRUE,,
msc_log_2017-07-20Thu20-34-10.620000.pcm.SpeexWb.pcm,1.50E+12,换个其他人唱的,换个其他人唱的,TRUE,,
msc_log_2017-07-20Thu20-34-14.265000.pcm.SpeexWb.pcm,1.50E+12,音乐暂停一下,音乐暂停一下,TRUE,,
msc_log_2017-07-20Thu20-34-17.541000.pcm.SpeexWb.pcm,1.50E+12,播放阿楚姑娘,播放阿楚姑娘,TRUE,,
msc_log_2017-07-20Thu20-34-21.135000.pcm.SpeexWb.pcm,1.50E+12,我要听原唱的版本,我要听原唱的版本,TRUE,,
msc_log_2017-07-20Thu20-34-24.877000.pcm.SpeexWb.pcm,1.50E+12,暂停屏幕太暗了,暂停屏幕太暗了,TRUE,,
msc_log_2017-07-20Thu20-34-28.478000.pcm.SpeexWb.pcm,1.50E+12,继续播放,继续播放,TRUE,,
msc_log_2017-07-20Thu20-34-31.545000.pcm.SpeexWb.pcm,1.50E+12,我想听小亮的歌,我想听小亮的歌,TRUE,,
msc_log_2017-07-20Thu20-34-35.294000.pcm.SpeexWb.pcm,1.50E+12,听他唱的英文歌,听他唱的英文歌,TRUE,,
msc_log_2017-07-20Thu20-34-39.385000.pcm.SpeexWb.pcm,1.50E+12,帮我收藏一下这首歌,帮我收藏一下这首歌,TRUE,,
msc_log_2017-07-20Thu20-34-43.202000.pcm.SpeexWb.pcm,1.50E+12,可以单曲循环播放吗,可以单曲循环播放吗,TRUE,,
msc_log_2017-07-20Thu20-34-47.168000.pcm.SpeexWb.pcm,1.50E+12,切换下一首,切换下一首,TRUE,,
msc_log_2017-07-20Thu20-34-50.398000.pcm.SpeexWb.pcm,1.50E+12,梦醒时分,梦醒时分,TRUE,,
msc_log_2017-07-20Thu20-34-53.591000.pcm.SpeexWb.pcm,1.50E+12,切换下一首,切换下一首,TRUE,,
msc_log_2017-07-20Thu20-34-56.934000.pcm.SpeexWb.pcm,1.50E+12,声音小一点吧,声音小一点吧,TRUE,,
msc_log_2017-07-20Thu20-35-00.175000.pcm.SpeexWb.pcm,1.50E+12,暂停,暂停,TRUE,,
msc_log_2017-07-20Thu20-35-03.079000.pcm.SpeexWb.pcm,1.50E+12,我要听中国心,我要听中国心,TRUE,,
msc_log_2017-07-20Thu20-35-06.722000.pcm.SpeexWb.pcm,1.50E+12,帮我单曲循环中国心,帮我单曲循环中国心,TRUE,,
msc_log_2017-07-20Thu20-35-10.840000.pcm.SpeexWb.pcm,1.50E+12,给我收藏这首歌,给我收藏这首歌,TRUE,,
msc_log_2017-07-20Thu20-35-14.412000.pcm.SpeexWb.pcm,1.50E+12,暂停一下,暂停一下,TRUE,,
msc_log_2017-07-20Thu20-35-17.467000.pcm.SpeexWb.pcm,1.50E+12,小苹果,,FALSE,,
msc_log_2017-07-20Thu20-35-30.186000.pcm.SpeexWb.pcm,1.50E+12,放一下筷子兄弟的小苹果,放一下筷子兄弟的小苹果,TRUE,,
msc_log_2017-07-20Thu20-35-34.524000.pcm.SpeexWb.pcm,1.50E+12,换个别的人唱的,,FALSE,,
msc_log_2017-07-20Thu20-35-47.694000.pcm.SpeexWb.pcm,1.50E+12,循环播放这首歌,循环播放这首歌,TRUE,,
msc_log_2017-07-20Thu20-35-51.273000.pcm.SpeexWb.pcm,1.50E+12,放首歌听听,,FALSE,,
msc_log_2017-07-20Thu20-36-04.340000.pcm.SpeexWb.pcm,1.50E+12,换个柔摇滚点的,换个柔摇滚点的,TRUE,,
msc_log_2017-07-20Thu20-36-07.886000.pcm.SpeexWb.pcm,1.50E+12,再找个相似的播放,,FALSE,,
msc_log_2017-07-20Thu20-36-21.386000.pcm.SpeexWb.pcm,1.50E+12,我想听烟火,我想听烟火,TRUE,,
msc_log_2017-07-20Thu20-36-25.013000.pcm.SpeexWb.pcm,1.50E+12,放一下他唱的其他歌,放一下他唱的其他歌,TRUE,,
msc_log_2017-07-20Thu20-36-29.061000.pcm.SpeexWb.pcm,1.50E+12,切换到下一曲,切换到下一曲,TRUE,,
msc_log_2017-07-20Thu20-36-32.366000.pcm.SpeexWb.pcm,1.50E+12,再听一遍烟火,再听一遍烟火,TRUE,,
msc_log_2017-07-20Thu20-36-36.019000.pcm.SpeexWb.pcm,1.50E+12,收藏烟火,收藏烟火,TRUE,,
msc_log_2017-07-20Thu20-36-39.102000.pcm.SpeexWb.pcm,1.50E+12,播放海顿的音乐,播放海顿的音乐,TRUE,,
msc_log_2017-07-20Thu20-36-42.645000.pcm.SpeexWb.pcm,1.50E+12,播放海顿的交响乐,播放海顿的交响乐,TRUE,,
msc_log_2017-07-20Thu20-36-46.511000.pcm.SpeexWb.pcm,1.50E+12,换个其他人的交响乐,换个其他人的交响乐,TRUE,,
msc_log_2017-07-20Thu20-36-50.938000.pcm.SpeexWb.pcm,1.50E+12,播放值得,播放值得,TRUE,,
msc_log_2017-07-20Thu20-36-54.209000.pcm.SpeexWb.pcm,1.50E+12,有其他人唱的版本吗,有其他人唱的版本吗,TRUE,,
msc_log_2017-07-20Thu20-36-58.195000.pcm.SpeexWb.pcm,1.50E+12,给我来一个粤语版值得,给我来一个粤语版值得,TRUE,,
msc_log_2017-07-20Thu20-37-02.295000.pcm.SpeexWb.pcm,1.50E+12,切换下一曲,切换下一曲,TRUE,,
msc_log_2017-07-20Thu20-37-05.775000.pcm.SpeexWb.pcm,1.50E+12,暂停播放,暂停播放,TRUE,,
msc_log_2017-07-20Thu20-37-08.896000.pcm.SpeexWb.pcm,1.50E+12,老鼠爱大米,老鼠爱大米,TRUE,,
msc_log_2017-07-20Thu20-37-12.179000.pcm.SpeexWb.pcm,1.50E+12,有没有英文版的老鼠爱大米,有没有英文版的老鼠爱大米,TRUE,,
msc_log_2017-07-20Thu20-37-16.328000.pcm.SpeexWb.pcm,1.50E+12,暂停一下,暂停一下,TRUE,,
msc_log_2017-07-20Thu20-37-19.371000.pcm.SpeexWb.pcm,1.50E+12,切换下一首,切换下一首,TRUE,,
msc_log_2017-07-20Thu20-37-22.608000.pcm.SpeexWb.pcm,1.50E+12,来一首铿锵玫瑰,来一首铿锵玫瑰,TRUE,,
msc_log_2017-07-20Thu20-37-26.388000.pcm.SpeexWb.pcm,1.50E+12,换一首军歌,换一首军歌,TRUE,,
msc_log_2017-07-20Thu20-37-29.745000.pcm.SpeexWb.pcm,1.50E+12,表达想家的军歌有没有,表达想家的军歌有没有,TRUE,,
msc_log_2017-07-20Thu20-37-33.836000.pcm.SpeexWb.pcm,1.50E+12,换个其他人唱的,换个其他人唱的,TRUE,,
msc_log_2017-07-20Thu20-37-37.539000.pcm.SpeexWb.pcm,1.50E+12,我想听吻别,我想听吻别,TRUE,,
msc_log_2017-07-20Thu20-37-41.045000.pcm.SpeexWb.pcm,1.50E+12,不是我要的是英文版的,不是我要的是英文版的,TRUE,,
msc_log_2017-07-20Thu20-37-45.343000.pcm.SpeexWb.pcm,1.50E+12,下载下载,下载下载,TRUE,,
msc_log_2017-07-20Thu20-37-48.780000.pcm.SpeexWb.pcm,1.50E+12,叫我来巡山这首歌播放一下,叫我来巡山这首歌播放一下,TRUE,,
msc_log_2017-07-20Thu20-37-53.428000.pcm.SpeexWb.pcm,1.50E+12,换下一首歌曲,换下一首歌曲,TRUE,,
msc_log_2017-07-20Thu20-37-56.879000.pcm.SpeexWb.pcm,1.50E+12,先把音乐暂停一下,先把音乐暂停一下,TRUE,,
msc_log_2017-07-20Thu20-38-01.025000.pcm.SpeexWb.pcm,1.50E+12,有没有dj版的,有没有dj版的,TRUE,,
msc_log_2017-07-20Thu20-38-04.520000.pcm.SpeexWb.pcm,1.50E+12,你唱首歌听吧,你唱首歌听吧,TRUE,,
msc_log_2017-07-20Thu20-38-08.290000.pcm.SpeexWb.pcm,1.50E+12,有没有纯音乐,有没有纯音乐,TRUE,,
msc_log_2017-07-20Thu20-38-11.947000.pcm.SpeexWb.pcm,1.50E+12,给我来首舞曲吧,给我来首舞曲吧,TRUE,,
msc_log_2017-07-20Thu20-38-15.982000.pcm.SpeexWb.pcm,1.50E+12,有舞曲跳湖吗,,FALSE,,
msc_log_2017-07-20Thu20-38-29.329000.pcm.SpeexWb.pcm,1.50E+12,泥鳅这首歌,泥鳅这首歌,TRUE,,
msc_log_2017-07-20Thu20-38-32.651000.pcm.SpeexWb.pcm,1.50E+12,换一首歌,,FALSE,,
msc_log_2017-07-20Thu20-38-45.501000.pcm.SpeexWb.pcm,1.50E+12,暂停播放,暂停播放,TRUE,,
msc_log_2017-07-20Thu20-38-48.686000.pcm.SpeexWb.pcm,1.50E+12,退出吧,退出吧,TRUE,,
msc_log_2017-07-20Thu20-38-51.720000.pcm.SpeexWb.pcm,1.50E+12,我要听陈奕迅的歌,我要听陈奕迅的歌,TRUE,,
msc_log_2017-07-20Thu20-38-55.566000.pcm.SpeexWb.pcm,1.50E+12,换一首别的歌,换一首别的歌,TRUE,,
msc_log_2017-07-20Thu20-38-58.989000.pcm.SpeexWb.pcm,1.50E+12,循环播放她的歌,循环播放她的歌,TRUE,,
msc_log_2017-07-20Thu20-39-02.666000.pcm.SpeexWb.pcm,1.50E+12,帮我收藏她的歌,帮我收藏她的歌,TRUE,,
msc_log_2017-07-20Thu20-39-06.359000.pcm.SpeexWb.pcm,1.50E+12,我要听崔格子,我要听崔格子,TRUE,,
msc_log_2017-07-20Thu20-39-10.071000.pcm.SpeexWb.pcm,1.50E+12,换下一首听,换下一首听,TRUE,,
msc_log_2017-07-20Thu20-39-13.581000.pcm.SpeexWb.pcm,1.50E+12,给我换个dj版的,给我换个dj版的,TRUE,,
msc_log_2017-07-20Thu20-39-17.307000.pcm.SpeexWb.pcm,1.50E+12,听听英文版的怎么样,听听英文版的怎么样,TRUE,,
msc_log_2017-07-20Thu20-39-21.197000.pcm.SpeexWb.pcm,1.50E+12,三生三世,三生三世,TRUE,,
msc_log_2017-07-20Thu20-39-25.354000.pcm.SpeexWb.pcm,1.50E+12,放一下电视剧的其他插曲,放一下电视剧的其他插曲,TRUE,,
msc_log_2017-07-20Thu20-39-30.068000.pcm.SpeexWb.pcm,1.50E+12,我想收藏一下这首歌,我想收藏一下这首歌,TRUE,,
msc_log_2017-07-20Thu20-39-34.286000.pcm.SpeexWb.pcm,1.50E+12,其他人唱的有没有,其他人唱的有没有,TRUE,,
msc_log_2017-07-20Thu20-39-37.907000.pcm.SpeexWb.pcm,1.50E+12,帮我把歌曲暂停一下,帮我把歌曲暂停一下,TRUE,,
msc_log_2017-07-20Thu20-39-42.424000.pcm.SpeexWb.pcm,1.50E+12,请播放凤凰传奇,请播放凤凰传奇,TRUE,,
msc_log_2017-07-20Thu20-39-47.301000.pcm.SpeexWb.pcm,1.50E+12,帮我看一下凤凰传奇的荷塘月色,帮我看一下凤凰传奇的荷塘月色,TRUE,,
msc_log_2017-07-20Thu20-39-52.466000.pcm.SpeexWb.pcm,1.50E+12,单曲循环播放荷塘月色,单曲循环播放荷塘月色,TRUE,,
msc_log_2017-07-20Thu20-39-57.313000.pcm.SpeexWb.pcm,1.50E+12,收藏一下她们的歌,收藏一下她们的歌,TRUE,,
msc_log_2017-07-20Thu20-40-01.078000.pcm.SpeexWb.pcm,1.50E+12,给我放一首刘德华的歌,给我放一首刘德华的歌,TRUE,,
msc_log_2017-07-20Thu20-40-05.648000.pcm.SpeexWb.pcm,1.50E+12,就听谢谢你的爱吧,就听谢谢你的爱吧,TRUE,,
msc_log_2017-07-20Thu20-40-09.951000.pcm.SpeexWb.pcm,1.50E+12,放一下刘德华的其他歌曲,放一下刘德华的其他歌曲,TRUE,,
msc_log_2017-07-20Thu20-40-16.304000.pcm.SpeexWb.pcm,1.50E+12,打开网络歌曲,打开网络歌曲,TRUE,,
msc_log_2017-07-20Thu20-40-20.575000.pcm.SpeexWb.pcm,1.50E+12,听网络最流行的歌曲,听网络最流行的歌曲,TRUE,,
msc_log_2017-07-20Thu20-40-24.328000.pcm.SpeexWb.pcm,1.50E+12,开始播放,开始播放,TRUE,,
msc_log_2017-07-20Thu20-40-28.588000.pcm.SpeexWb.pcm,1.50E+12,播放杜德伟的歌,播放杜德伟的歌,TRUE,,
msc_log_2017-07-20Thu20-40-32.461000.pcm.SpeexWb.pcm,1.50E+12,播放她的成名歌曲,播放她的成名歌曲,TRUE,,
msc_log_2017-07-20Thu20-40-36.758000.pcm.SpeexWb.pcm,1.50E+12,有别人翻唱的吗,有别人翻唱的吗,TRUE,,
msc_log_2017-07-20Thu20-40-40.758000.pcm.SpeexWb.pcm,1.50E+12,好吧换首情人,好吧换首情人,TRUE,,
msc_log_2017-07-20Thu20-40-45.545000.pcm.SpeexWb.pcm,1.50E+12,收藏一下情人,收藏一下情人,TRUE,,
msc_log_2017-07-20Thu20-40-49.354000.pcm.SpeexWb.pcm,1.50E+12,我想听音乐,我想听音乐,TRUE,,
msc_log_2017-07-20Thu20-40-53.090000.pcm.SpeexWb.pcm,1.50E+12,我想听dj歌曲,我想听dj歌曲,TRUE,,
msc_log_2017-07-20Thu20-40-56.831000.pcm.SpeexWb.pcm,1.50E+12,换一首动感的舞曲,换一首动感的舞曲,TRUE,,
msc_log_2017-07-20Thu20-41-00.918000.pcm.SpeexWb.pcm,1.50E+12,切换下一首,切换下一首,TRUE,,
msc_log_2017-07-20Thu20-41-04.713000.pcm.SpeexWb.pcm,1.50E+12,播放歌,播放歌,TRUE,,
msc_log_2017-07-20Thu20-41-08.330000.pcm.SpeexWb.pcm,1.50E+12,英文的,英文的,TRUE,,
msc_log_2017-07-20Thu20-41-11.575000.pcm.SpeexWb.pcm,1.50E+12,声音最大,声音最大,TRUE,,
msc_log_2017-07-20Thu20-41-15.015000.pcm.SpeexWb.pcm,1.50E+12,搜藏吧,搜藏吧,TRUE,,
msc_log_2017-07-20Thu20-41-18.659000.pcm.SpeexWb.pcm,1.50E+12,我想听风雨兼程,我想听风雨兼程,TRUE,,
msc_log_2017-07-20Thu20-41-22.500000.pcm.SpeexWb.pcm,1.50E+12,这首歌是哪个专辑的,这首歌是哪个专辑的,TRUE,,
msc_log_2017-07-20Thu20-41-26.416000.pcm.SpeexWb.pcm,1.50E+12,我要听这个专辑的所有歌,我要听这个专辑的所有歌,TRUE,,
