用户说法,user_data
那就去村民委员会,"{""UserData"":{""serialNo"":""M1AT020102000007_2017060114322898"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|白鹿镇|距离193|地址成都市彭州市""},""dataInfo"":{""end_poi"":{""poi"":""白鹿镇"",""lat"":""31.189444"",""tel"":"""",""area"":""成都市彭州市"",""lng"":""103.912535""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""白鹿镇"",""距离193"",""地址成都市彭州市""]}"
是白鹿村村委会，不是回水村的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143231702"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|正源乡辕门村民委员会|广元市旺苍县|茶园乡茶园村民委员会|白水镇卢家坝村村民委员会|剑门关镇剑雄村村民委员会|广元市剑阁县|青川县青溪镇阴平村民委员会|广元市青川县""},""dataInfo"":{""end_poi"":{""poi"":""正源乡辕门村民委员会"",""lat"":""32.404132"",""tel"":"""",""area"":""广元市旺苍县"",""lng"":""106.340417""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""正源乡辕门村民委员会"",""广元市旺苍县"",""茶园乡茶园村民委员会"",""白水镇卢家坝村村民委员会"",""剑门关镇剑雄村村民委员会"",""广元市剑阁县"",""青川县青溪镇阴平村民委员会"",""广元市青川县""]}"
走最近的路线,"{""UserData"":{""serialNo"":""M1AT020102000007_2017060114323419"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|正源乡辕门村民委员会|广元市旺苍县|茶园乡茶园村民委员会|白水镇卢家坝村村民委员会|剑门关镇剑雄村村民委员会|广元市剑阁县|青川县青溪镇阴平村民委员会|广元市青川县""},""dataInfo"":{""end_poi"":{""poi"":""正源乡辕门村民委员会"",""lat"":""32.404132"",""tel"":"""",""area"":""广元市旺苍县"",""lng"":""106.340417""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""正源乡辕门村民委员会"",""广元市旺苍县"",""茶园乡茶园村民委员会"",""白水镇卢家坝村村民委员会"",""剑门关镇剑雄村村民委员会"",""广元市剑阁县"",""青川县青溪镇阴平村民委员会"",""广元市青川县""]}"
导航开始吧,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143238262"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""富安娜家纺(飞霞北路)"",""lat"":""28.019479"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.666771""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|剑门关镇剑雄村村民委员会|距离10|地址广元市剑阁县""},""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""剑门关镇剑雄村村民委员会"",""距离10"",""地址广元市剑阁县""]}"
帮我导航到江北机场,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143241575"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|加载中""},""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""加载中""]}"
搜索江北机场附近的酒店,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143244935"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|重庆江北国际机场|重庆城区两路镇机场路|重庆江北国际机场1航站楼|重庆城区两路镇重庆江北国际机场|重庆江北国际机场2航站楼""},""dataInfo"":{""end_poi"":{""poi"":""重庆江北国际机场"",""lat"":""29.716319"",""tel"":"""",""area"":""重庆城区渝北区"",""lng"":""106.638194""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""重庆江北国际机场"",""重庆城区两路镇机场路"",""重庆江北国际机场1航站楼"",""重庆城区两路镇重庆江北国际机场"",""重庆江北国际机场2航站楼""]}"
选择价格最低的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143248363"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|万达酒店昆明长水机场店|官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程|详情下拉图片|昆明长水机场旅居精品酒店|大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程|昆明长水机场宝利莱酒店|昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场|昆明好在来酒店长水机场|大板桥街道办事320国道与机场高速入口交叉口|昆明金盛度假酒店长水机场店|昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程""},""dataInfo"":{""end_poi"":{""poi"":""万达酒店(昆明长水机场店)"",""lat"":""25.044666"",""tel"":""0871-63987151"",""area"":"""",""lng"":""102.875892""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""万达酒店昆明长水机场店"",""官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程"",""详情下拉图片"",""昆明长水机场旅居精品酒店"",""大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程"",""昆明长水机场宝利莱酒店"",""昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场"",""昆明好在来酒店长水机场"",""大板桥街道办事320国道与机场高速入口交叉口"",""昆明金盛度假酒店长水机场店"",""昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程""]}"
导航吧,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143251883"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|万达酒店昆明长水机场店|官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程|详情下拉图片|昆明长水机场旅居精品酒店|大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程|昆明长水机场宝利莱酒店|昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场|昆明好在来酒店长水机场|大板桥街道办事320国道与机场高速入口交叉口|昆明金盛度假酒店长水机场店|昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程""},""dataInfo"":{""end_poi"":{""poi"":""万达酒店(昆明长水机场店)"",""lat"":""25.044666"",""tel"":""0871-63987151"",""area"":"""",""lng"":""102.875892""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""万达酒店昆明长水机场店"",""官渡区大板桥镇二甲村近长水机场附近距离昆明长水机场仅1015分钟车程"",""详情下拉图片"",""昆明长水机场旅居精品酒店"",""大板桥镇五甲新村内酒店提供24小时免费接送机服务距离机场810分钟车程"",""昆明长水机场宝利莱酒店"",""昆明官渡区长水机场商圈内大板桥镇汉正街近长水机场"",""昆明好在来酒店长水机场"",""大板桥街道办事320国道与机场高速入口交叉口"",""昆明金盛度假酒店长水机场店"",""昆明长水机场花箐村53号提供24小时免费接送机服务距离机场58分钟车程""]}"
前往山东省济南市商河县,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143255215"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""万达酒店(昆明长水机场店)"",""lat"":""25.044666"",""tel"":""0871-63987151"",""area"":"""",""lng"":""102.875892""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""15小时32分钟"",""1362公里"",""红绿灯8个"",""收费715元"",""收费较少"",""15小时55分钟"",""1411公里"",""开始导航"",""设置车牌避开十堰市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
就是明辉路的商河县,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143258455"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|商河县|距离1619|地址济南市山东省济南市商河县明辉路""},""dataInfo"":{""end_poi"":{""poi"":""商河县"",""lat"":""37.30906953"",""tel"":"""",""area"":""济南市商河县"",""lng"":""117.1570969""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""商河县"",""距离1619"",""地址济南市山东省济南市商河县明辉路""]}"
搜索商河县附近的景点,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143301862"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|商河县|距离1619|地址济南市山东省济南市商河县明辉路""},""dataInfo"":{""end_poi"":{""poi"":""商河县"",""lat"":""37.30906953"",""tel"":"""",""area"":""济南市商河县"",""lng"":""117.1570969""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""商河县"",""距离1619"",""地址济南市山东省济南市商河县明辉路""]}"
我要去免费的,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143305210"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|古城遗址|济南市商河县|汉墓群|清真寺""},""dataInfo"":{""end_poi"":{""poi"":""古城遗址"",""lat"":""37.370833"",""tel"":"""",""area"":""济南市商河县"",""lng"":""117.031042""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""古城遗址"",""济南市商河县"",""汉墓群"",""清真寺""]}"
可以导航了,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143308442"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|古城遗址|济南市商河县|汉墓群|清真寺""},""dataInfo"":{""end_poi"":{""poi"":""古城遗址"",""lat"":""37.370833"",""tel"":"""",""area"":""济南市商河县"",""lng"":""117.031042""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""古城遗址"",""济南市商河县"",""汉墓群"",""清真寺""]}"
我想去徐州走高速,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143311875"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|路线偏好|距离最短|15小时32分钟|1362公里|红绿灯8个|收费715元|收费较少|15小时55分钟|1411公里|开始导航|设置车牌避开十堰市外地车限行|缩小图面|放大图面|仅供测试""},""dataInfo"":{""end_poi"":{""poi"":""古城遗址"",""lat"":""37.370833"",""tel"":"""",""area"":""济南市商河县"",""lng"":""117.031042""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""路线偏好"",""距离最短"",""15小时32分钟"",""1362公里"",""红绿灯8个"",""收费715元"",""收费较少"",""15小时55分钟"",""1411公里"",""开始导航"",""设置车牌避开十堰市外地车限行"",""缩小图面"",""放大图面"",""仅供测试""]}"
我想去加油站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143315217"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""oneTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|徐州市|距离760|地址徐州市江苏省徐州市云龙区汉风路""},""dataInfo"":{""end_poi"":{""poi"":""徐州市"",""lat"":""34.20439606"",""tel"":"""",""area"":""徐州市云龙区"",""lng"":""117.2857669""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""徐州市"",""距离760"",""地址徐州市江苏省徐州市云龙区汉风路""]}"
那就去连徐高速议堂加油站,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143318813"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|水心加油站过境路辅路|温州市鹿城区|加油站西山东路|温州市瓯海区|广化加油站|吴桥加油站|温州市吴桥路90弄3号|交运石油南站加油站|温州市飞霞南路918弄7""},""dataInfo"":{""end_poi"":{""poi"":""水心加油站(过境路辅路)"",""lat"":""28.001424"",""tel"":"""",""area"":""温州市鹿城区"",""lng"":""120.641563""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""水心加油站过境路辅路"",""温州市鹿城区"",""加油站西山东路"",""温州市瓯海区"",""广化加油站"",""吴桥加油站"",""温州市吴桥路90弄3号"",""交运石油南站加油站"",""温州市飞霞南路918弄7""]}"
开始导航,"{""UserData"":{""serialNo"":""M1AT020102000007_20170601143322130"",""mapU::route"":{""sceneStatus"":""moreRoute"",""activeStatus"":""bg"",""data"":{""dataInfo"":{""end_poi"":{""poi"":""剑门关镇剑雄村村民委员会"",""lat"":""32.198924"",""tel"":"""",""area"":""广元市剑阁县"",""lng"":""105.566979""},""via_poi"":{},""start_poi"":{},""reference_poi"":{},""avoid_poi"":{}}}},""mapU::poiSearch"":{""sceneStatus"":""moreTarget"",""activeStatus"":""fg"",""data"":{""hotInfo"":{""viewCmd"":""返回|主界面|通知栏|永嘉县上塘镇高速办|温州市永嘉县|永嘉收费站26诸永高速出口峙口方向|永嘉收费站26诸永高速入口杭州方向""},""dataInfo"":{""end_poi"":{""poi"":""永嘉县上塘镇高速办"",""lat"":""28.156736"",""tel"":"""",""area"":""温州市永嘉县"",""lng"":""120.692257""},""start_poi"":{}}}}},""HotWords"":[""返回"",""主界面"",""通知栏"",""永嘉县上塘镇高速办"",""温州市永嘉县"",""永嘉收费站26诸永高速出口峙口方向"",""永嘉收费站26诸永高速入口杭州方向""]}"
