audio_path,audioTag,ResultOrgText,ResultCompareText,ResultOrgLabel,ResultCompareLabel,IsEqual?(%) 1106/2567=43.09%
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0006-03.pcm,24,,,DJ版的有吗,dj版的有吗,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0006-04.pcm,25,放个他抄的其他歌,放个他抄的其他歌,放个他唱的其他歌,放个他唱的其他歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0007-01.pcm,26,我要听歌儿,我要听歌儿,我要听歌儿,我要听歌儿,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0007-02.pcm,27,,,听英文歌,听英文歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0007-03.pcm,28,,,听Justin Bieber的歌,听justinbieber的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0007-04.pcm,29,有没有她唱的温柔一点的歌,有没有她唱的温柔一点的歌,有没有他唱的温柔一点的歌,有没有他唱的温柔一点的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0008-01.pcm,30,播放音乐我可以抱你吗宝贝,播放音乐我可以抱你吗宝贝,播放音乐我可以抱你吗宝贝,播放音乐我可以抱你吗宝贝,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0008-02.pcm,31,换个他唱的其他歌,换个他唱的其他歌,换个他唱的其他歌,换个他唱的其他歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0008-03.pcm,32,,,暂停一下,暂停一下,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0008-04.pcm,33,,,帮我收藏这首歌,帮我收藏这首歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0008-05.pcm,34,换下一首吧,换下一首吧,换下一首吧,换下一首吧,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0009-01.pcm,35,我想听爱朵唱的歌,我想听爱朵唱的歌,我想听爱朵唱的歌,我想听爱朵唱的歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0009-02.pcm,36,,,声音太大了吧,声音太大了吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0009-03.pcm,37,,,下一曲下一曲,下一曲下一曲,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0009-04.pcm,38,收藏这首吧,收藏这首吧,收藏这首吧,收藏这首吧,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0010-01.pcm,39,歌曲妈妈我想你,歌曲妈妈我想你,歌曲妈妈，我想你,歌曲妈妈我想你,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0010-02.pcm,40,换下一首,换下一首,换下一首,换下一首,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0010-03.pcm,41,先把歌曲暂停一下,先把歌曲暂停一下,先把歌曲暂停一下,先把歌曲暂停一下,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0010-04.pcm,42,,,有别的人唱的吗,有别的人唱的吗,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0011-01.pcm,43,,,崔健的歌,崔健的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0011-02.pcm,44,,,放他唱的情歌,放他唱的情歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0011-03.pcm,45,帮我把这首歌收藏一下,帮我把这首歌收藏一下,帮我把这首歌收藏一下,帮我把这首歌收藏一下,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0011-04.pcm,46,换下一首歌曲,换下一首歌曲,换下一首歌曲,换下一首歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0012-01.pcm,47,,,播放护花使者,播放护花使者,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0012-02.pcm,48,,,换个其他人唱的,换个其他人唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0012-03.pcm,49,换个英文版的,换个英文版的,换个英文版的,换个英文版的,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0012-04.pcm,50,随便放个外语版的,随便放个外语版的,随便放个外语版的,随便放个外语版的,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0012-05.pcm,51,,,换下一首,换下一首,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0013-01.pcm,52,请放亲爱的小孩,请放亲爱的小孩,请放亲爱的小孩,请放亲爱的小孩,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0013-02.pcm,53,先帮我收藏一下这首歌,先帮我收藏一下这首歌,先帮我收藏一下这首歌,先帮我收藏一下这首歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0013-03.pcm,54,暂停一下,暂停一下,暂停一下,暂停一下,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0013-04.pcm,55,不听这个了换下一曲,不听这个了换下一曲,不听这个了，换下一曲,不听这个了换下一曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0013-05.pcm,56,,,换个人唱的,换个人唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0014-01.pcm,57,播放克莱德曼,播放克莱德曼,播放克莱德曼,播放克莱德曼,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0014-02.pcm,58,,,循环播放,循环播放,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0014-03.pcm,59,这首歌有没有mv,这首歌有没有mv,这首歌有没有MV,这首歌有没有mv,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0014-04.pcm,60,,,播放,播放,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0015-01.pcm,61,唱世上只有妈妈好,唱世上只有妈妈好,唱世上只有妈妈好,唱世上只有妈妈好,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0015-02.pcm,62,要小朋友唱的,要小朋友唱的,要小朋友唱的,要小朋友唱的,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0015-03.pcm,63,,,切换到下一首歌曲,切换到下一首歌曲,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0015-04.pcm,64,,,换个人唱的,换个人唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0016-01.pcm,65,可以听歌吗,可以听歌吗,可以听歌吗,可以听歌吗,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0016-02.pcm,66,我想听钢琴曲,我想听钢琴曲,我想听钢琴曲,我想听钢琴曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0016-03.pcm,67,,,来一首DJ舞曲吧,来一首dj舞曲吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0016-04.pcm,68,,,把歌曲暂停一下,把歌曲暂停一下,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0016-05.pcm,69,从头播放一遍,从头播放一遍,从头播放一遍,从头播放一遍,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0017-01.pcm,70,放一首好听的歌,放一首好听的歌,放一首好听的歌,放一首好听的歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0017-02.pcm,71,我要听张杰的歌曲,我要听张杰的歌曲,我要听张杰的歌曲,我要听张杰的歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0017-03.pcm,72,听她的力战,听她的力战,听他的逆战,听他的逆战,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0017-04.pcm,73,,,换下一首吧,换下一首吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0017-05.pcm,74,循环播放逆战,循环播放逆战,循环播放逆战,循环播放逆战,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0018-01.pcm,75,播放歌曲,播放歌曲,播放歌曲,播放歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0018-02.pcm,76,查看排行榜歌曲,查看排行榜歌曲,查看排行榜歌曲,查看排行榜歌曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0018-03.pcm,77,那就薛之谦的吧,那就薛之谦的吧,那就薛之谦的吧,那就薛之谦的吧,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0018-04.pcm,78,不是这首是我害怕,不是这首是我害怕,不是这首，是我害怕,不是这首是我害怕,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0018-05.pcm,79,,,不错，收藏一下,不错收藏一下,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0019-01.pcm,80,,,歌曲那一天,歌曲那一天,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0019-02.pcm,81,换个其他的人唱的,换个其他的人唱的,换个其他的人唱的,换个其他的人唱的,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0019-03.pcm,82,不想听这首歌了换一首,不想听这首歌了换一首,不想听这首歌了，换一首,不想听这首歌了换一首,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0019-04.pcm,83,,,换个粤语版的,换个粤语版的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0020-01.pcm,84,,,我要听首歌,我要听首歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0020-02.pcm,85,我要听一首粤语歌,我要听一首粤语歌,我要听一首粤语歌,我要听一首粤语歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0020-03.pcm,86,要听刘德华的粤语歌,要听刘德华的粤语歌,要听刘德华的粤语歌,要听刘德华的粤语歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0020-04.pcm,87,听刘德华的爱你一万年,听刘德华的爱你一万年,听刘德华的爱你一万年,听刘德华的爱你一万年,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0021-01.pcm,88,我想听儿歌唱的响亮,我想听儿歌唱的响亮,我想听儿歌唱得响亮,我想听儿歌唱得响亮,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0021-02.pcm,89,,,不想听儿歌了，听纯音乐吧,不想听儿歌了听纯音乐吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0021-03.pcm,90,,,听听钢琴曲也行,听听钢琴曲也行,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0021-04.pcm,91,,,那就郎朗的吧,那就郎朗的吧,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0022-01.pcm,92,我要听逆流成河,我要听逆流成河,我要听逆流成河,我要听逆流成河,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0022-02.pcm,93,,,有没有粤语版的逆流成河,有没有粤语版的逆流成河,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0022-03.pcm,94,,,换个其他人唱的,换个其他人唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0022-04.pcm,95,,,音乐暂停一下,音乐暂停一下,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0023-01.pcm,96,播放阿楚姑娘,播放阿楚姑娘,播放阿楚姑娘,播放阿楚姑娘,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0023-02.pcm,97,,,我要听原唱的版本,我要听原唱的版本,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0023-03.pcm,98,,,暂停，屏幕太暗了,暂停屏幕太暗了,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0023-04.pcm,99,,,继续播放,继续播放,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0024-01.pcm,100,我想听小亮的歌,我想听小亮的歌,我想听晓亮的歌,我想听晓亮的歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0024-02.pcm,101,,,听他唱的英文歌,听他唱的英文歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0024-03.pcm,102,,,帮我收藏一下这首歌,帮我收藏一下这首歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0024-04.pcm,103,可以单曲循环播放吗,可以单曲循环播放吗,可以单曲循环播放吗,可以单曲循环播放吗,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0024-05.pcm,104,,,切换下一首,切换下一首,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0025-01.pcm,105,梦醒时分,梦醒时分,梦醒时分,梦醒时分,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0025-02.pcm,106,切换下一首,切换下一首,切换下一首,切换下一首,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0025-03.pcm,107,声音小一点吧,声音小一点吧,声音小一点吧,声音小一点吧,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0025-04.pcm,108,,,暂停,暂停,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0026-01.pcm,109,我要听中国心,我要听中国心,我要听中国心,我要听中国心,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0026-02.pcm,110,,,帮我单曲循环中国心,帮我单曲循环中国心,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0026-03.pcm,111,,,给我收藏这首歌,给我收藏这首歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0026-04.pcm,112,,,暂停一下,暂停一下,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0027-01.pcm,113,小苹果,小苹果,小苹果,小苹果,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0027-02.pcm,114,,,放一下筷子兄弟的小苹果,放一下筷子兄弟的小苹果,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0027-03.pcm,115,,,换个别的人唱的,换个别的人唱的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0027-04.pcm,116,,,循环播放这首歌,循环播放这首歌,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0028-01.pcm,117,放首歌听听,放首歌听听,放个歌听听,放个歌听听,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0028-02.pcm,118,,,换个柔摇滚点的,换个柔摇滚点的,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0028-03.pcm,119,,,再找个相似的播放,再找个相似的播放,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0029-01.pcm,120,我想听烟火,我想听烟火,我想听烟火,我想听烟火,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0029-02.pcm,121,放一下他唱的其他歌,放一下他唱的其他歌,放一下他唱的其他歌,放一下他唱的其他歌,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0029-03.pcm,122,切换到下一曲,切换到下一曲,切换到下一曲,切换到下一曲,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0029-04.pcm,123,再听一遍烟火,再听一遍烟火,再听一遍烟火,再听一遍烟火,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0029-05.pcm,124,,,收藏烟火,收藏烟火,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0030-01.pcm,125,,,播放海顿的音乐,播放海顿的音乐,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0030-02.pcm,126,,,播放海顿的交响乐,播放海顿的交响乐,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0030-03.pcm,127,换个其他人的交响乐,换个其他人的交响乐,换个其他人的交响乐,换个其他人的交响乐,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0031-01.pcm,128,,,播放值得,播放值得,FALSE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0031-02.pcm,129,有其他人唱的版本吗,有其他人唱的版本吗,有其他人唱的版本吗,有其他人唱的版本吗,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0031-03.pcm,130,给我来一个粤语版值得,给我来一个粤语版值得,给我来一个粤语版值得,给我来一个粤语版值得,TRUE
\\172.31.10.62\原10.5.22.77\个人文件管理\qqxiong\AIUI-zhongyao\AIUI\AIUI\sr\600\0031-04.pcm,131,,,切换下一曲,切换下一曲,FALSE
