strAudioPath,text,operation1,operation2,operation equal?(%) 1911/2567=74.44%,service1,service2,service equal?(%) 1962/2567=76.43%,slots1,slots2,slots equal?(%) 1623/2567=63.23%,OnlyInNliResult1,OnlyInNliResult2,ValueDifferent,all equal?(%) 1604/2567=62.49%
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0003-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""DJ""}}",True,,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""我的历史""}}",False,,slots.song: 我的历史,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0004-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""那就这样吧""}}","{""slots"": {""song"": ""那就这样吧""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-02.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""lang"": ""欧美""}}",False,,slots.lang: 欧美,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0005-05.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#lang"": ""英文""}}",True,,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""source"": ""个人""}}",False,,slots.source: 个人,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""genre"": ""dj""}}",False,,slots.genre: dj,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0006-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#song"": ""爱情买卖"", ""artist"": ""夏婉安""}}",False,,slots.artist: 夏婉安,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0007-01.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0007-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""lang"": ""英文""}}","{""slots"": {""lang"": ""欧美""}}",False,,,"slots.lang: 英文, 欧美",False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0007-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""artist"": ""贾斯汀""}}",False,,slots.artist: 贾斯汀,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0007-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""tags"": ""治愈"", ""artist"": ""Justin Bieber"", ""song"": ""一点""}}",False,,"slots.artist: Justin Bieber
slots.tags: 治愈
slots.song: 一点",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0008-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""我可以抱你吗宝贝""}}","{""slots"": {""artist"": ""宝贝"", ""song"": ""我可以抱你吗""}}",False,,slots.artist: 宝贝,"slots.song: 我可以抱你吗宝贝, 我可以抱你吗",False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0008-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#song"": ""我可以抱你吗宝贝"", ""artist"": ""张惠妹""}}",False,,slots.artist: 张惠妹,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0008-03.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""pause""}}","{""slots"": {""insType"": ""pause""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0008-04.pcm,,,INSTRUCTION,False,,musicX,False,,"{""slots"": {""insType"": ""collect""}}",False,,slots.insType: collect,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0008-05.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-01.pcm,,PLAY,,False,musicX,,False,"{""slots"": {""artist"": ""爱朵""}}",,False,slots.artist: 爱朵,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-02.pcm,,INSTRUCTION,INSTRUCTION,True,cmd,cmd,True,"{""slots"": {""insType"": ""VOLUME_MINUS""}}","{""slots"": {""insType"": ""VOLUME_MINUS""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0009-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""collect""}}","{""slots"": {""insType"": ""collect""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0010-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""妈妈我想你""}}","{""slots"": {""song"": ""妈妈我想你""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0010-02.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0010-03.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""close""}}","{""slots"": {""insType"": ""close""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0010-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""李荣浩""}}",True,,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0011-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""崔健""}}","{""slots"": {""artist"": ""崔健""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0011-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""情歌"", ""artist"": ""崔健""}}","{""slots"": {""artist"": ""崔健"", ""song"": ""情歌""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0011-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0011-04.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0012-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""护花使者""}}","{""slots"": {""song"": ""护花使者""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0012-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""李克勤"", ""song"": ""护花使者""}}",False,,slots.song: 护花使者,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0012-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0012-04.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0012-05.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0013-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""亲爱的小孩""}}","{""slots"": {""song"": ""亲爱的小孩""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0013-02.pcm,,,INSTRUCTION,False,,musicX,False,,"{""slots"": {""insType"": ""collect""}}",False,,slots.insType: collect,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0013-03.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""pause""}}","{""slots"": {""insType"": ""pause""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0013-04.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0013-05.pcm,,,INSTRUCTION,False,,musicX,False,,"{""slots"": {""source"": ""个人"", ""insType"": ""pause""}}",False,,"slots.source: 个人
slots.insType: pause",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0014-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0014-02.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""loop""}}","{""slots"": {""insType"": ""loop""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0014-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0014-04.pcm,,VIEWCMD,INSTRUCTION,False,musicX,video,False,"{""slots"": {""viewCmd"": ""最近播放|播放列表""}}","{""slots"": {""insType"": ""PLAY""}}",False,slots.viewCmd: 最近播放|播放列表,slots.insType: PLAY,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0015-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""世上只有妈妈好""}}","{""slots"": {""song"": ""世上只有妈妈好""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0015-02.pcm,,PLAY,,False,musicX,,False,"{""slots"": {""song"": ""小朋友""}}",,False,slots.song: 小朋友,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0015-03.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0015-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""source"": ""个人""}}",False,,slots.source: 个人,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0016-01.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0016-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""tags"": ""钢琴曲""}}","{""slots"": {""tags"": ""钢琴曲""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0016-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""genre"": ""dj""}}",False,,slots.genre: dj,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0016-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""close""}}","{""slots"": {""insType"": ""close""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0016-05.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""从头""}}",False,,slots.song: 从头,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0017-01.pcm,,PLAY,RANDOM_SEARCH,False,musicX,musicX,True,"{""slots"": {""song"": ""好听的""}}","{""slots"": {}}",False,slots.song: 好听的,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0017-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""张杰""}}","{""slots"": {""artist"": ""张杰""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0017-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0017-04.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0017-05.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""逆战""}}",False,,slots.song: 逆战,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0018-01.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0018-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0018-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""artist"": ""薛之谦""}}",False,,slots.artist: 薛之谦,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0018-04.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0018-05.pcm,,INSTRUCTION,,False,musicX,,False,"{""slots"": {""insType"": ""collect""}}",,False,slots.insType: collect,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0019-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""那一天""}}","{""slots"": {""song"": ""那一天""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0019-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""杨坤"", ""song"": ""那一天""}}",False,,slots.song: 那一天,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0019-03.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0019-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""lang"": ""粤语""}}",False,,slots.lang: 粤语,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0020-01.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0020-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""lang"": ""粤语""}}","{""slots"": {""lang"": ""粤语""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0020-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""lang"": ""粤语"", ""artist"": ""刘德华""}}",False,,"slots.artist: 刘德华
slots.lang: 粤语",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0020-04.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""爱你一万年"", ""artist"": ""刘德华""}}","{""slots"": {""artist"": ""刘德华"", ""song"": ""爱你一万年""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0021-01.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""唱的响亮"", ""tags"": ""儿歌""}}",False,,"slots.tags: 儿歌
slots.song: 唱的响亮",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0021-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#tags_strong"": ""儿歌"", ""song"": ""新春乐""}}",False,,slots.song: 新春乐,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0021-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0021-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""artist"": ""郎朗"", ""song"": ""钢琴纯音乐""}}",False,,"slots.artist: 郎朗
slots.song: 钢琴纯音乐",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0022-01.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""逆流成河""}}",False,,slots.song: 逆流成河,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0022-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0022-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""金南玲"", ""song"": ""逆流成河""}}",False,,slots.song: 逆流成河,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0022-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""close""}}","{""slots"": {""insType"": ""close""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0023-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""阿楚姑娘""}}","{""slots"": {""song"": ""阿楚姑娘""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0023-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0023-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0023-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""replay""}}","{""slots"": {""insType"": ""replay""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0024-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""artist"": ""小亮""}}","{""slots"": {""artist"": ""小亮""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0024-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""lang"": ""欧美"", ""artist"": ""孙晓亮""}}",False,,"slots.artist: 孙晓亮
slots.lang: 欧美",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0024-03.pcm,,,INSTRUCTION,False,,musicX,False,,"{""slots"": {""insType"": ""collect""}}",False,,slots.insType: collect,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0024-04.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0024-05.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-02.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-03.pcm,,INSTRUCTION,INSTRUCTION,True,cmd,cmd,True,"{""slots"": {""insType"": ""VOLUME_MINUS""}}","{""slots"": {""insType"": ""VOLUME_MINUS""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0025-04.pcm,,VIEWCMD,VIEWCMD,True,musicX,musicX,True,"{""slots"": {""viewCmd"": ""暂停""}}","{""slots"": {""viewCmd"": ""暂停""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0026-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""中国心""}}","{""slots"": {""song"": ""中国心""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0026-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0026-03.pcm,,,INSTRUCTION,False,,musicX,False,,"{""slots"": {""insType"": ""collect""}}",False,,slots.insType: collect,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0026-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""pause""}}","{""slots"": {""insType"": ""pause""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0027-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0027-02.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""小苹果"", ""band"": ""筷子兄弟""}}","{""slots"": {""artist"": ""筷子兄弟"", ""song"": ""小苹果""}}",False,slots.band: 筷子兄弟,slots.artist: 筷子兄弟,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0027-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""筷子兄弟"", ""song"": ""小苹果""}}",False,,slots.song: 小苹果,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0027-04.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""cycle""}}","{""slots"": {""insType"": ""cycle""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0028-01.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0028-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0028-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0029-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""烟火""}}","{""slots"": {""song"": ""烟火""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0029-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#song"": ""烟火"", ""artist"": ""陈翔""}}",False,,slots.artist: 陈翔,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0029-03.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0029-04.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""song"": ""烟火""}}",False,,slots.song: 烟火,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0029-05.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0030-01.pcm,,PLAY,,False,musicX,,False,"{""slots"": {""song"": ""海顿""}}",,False,slots.song: 海顿,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0030-02.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0030-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""genre"": ""交响"", ""exclude#artist"": ""海顿""}}",False,,slots.genre: 交响,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0031-01.pcm,,PLAY,PLAY,True,musicX,musicX,True,"{""slots"": {""song"": ""值得""}}","{""slots"": {""song"": ""值得""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0031-02.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""exclude#artist"": ""郑秀文""}}",True,,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0031-03.pcm,,,PLAY,False,,musicX,False,,"{""slots"": {""lang"": ""粤语"", ""song"": ""值得""}}",False,,"slots.song: 值得
slots.lang: 粤语",,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0031-04.pcm,,RANDOM_SEARCH,RANDOM_SEARCH,True,musicX,musicX,True,"{""slots"": null}","{""slots"": {}}",False,slots: null,,,False
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0031-05.pcm,,INSTRUCTION,INSTRUCTION,True,musicX,musicX,True,"{""slots"": {""insType"": ""pause""}}","{""slots"": {""insType"": ""pause""}}",True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0032-01.pcm,,,,True,,,True,,,True,,,,True
C:/Users/qqxiong/Desktop/AIUI/AIUI/sr/600/0032-02.pcm,,,,True,,,True,,,True,,,,True
