time	pid	handle	thread	virt(KB)	res(KB)	cpu_percent	free_memory(GB)
1970/01/01_10:36:38	3669		16	376832	231424	100	0
1970/01/01_10:36:39	3669		16	376832	230400	90	0
1970/01/01_10:36:40	3669		16	376832	231424	100	0
1970/01/01_10:36:41	3669		16	376832	230400	84	0
1970/01/01_10:36:42	3669		16	376832	231424	100	0
1970/01/01_10:36:43	3669		16	376832	230400	100	0
1970/01/01_10:36:44	3669		16	376832	231424	100	0
1970/01/01_10:36:45	3669		16	376832	230400	84	0
1970/01/01_10:36:46	3669		16	376832	231424	100	0
1970/01/01_10:36:47	3669		16	376832	230400	84	0
1970/01/01_10:36:48	3669		16	376832	231424	102	0
1970/01/01_10:36:49	3669		16	376832	232448	100	0
1970/01/01_10:36:50	3669		16	376832	230400	102	0
1970/01/01_10:36:51	3669		16	376832	231424	102	0
1970/01/01_10:36:52	3669		16	376832	230400	100	0
1970/01/01_10:36:53	3669		16	376832	231424	100	0
1970/01/01_10:36:54	3669		16	376832	230400	84	0
1970/01/01_10:36:55	3669		16	376832	231424	100	0
1970/01/01_10:36:56	3669		16	376832	230400	84	0
1970/01/01_10:36:57	3669		16	376832	231424	100	0
1970/01/01_10:36:58	3669		16	366592	208896	86	0
1970/01/01_10:36:59	3669		16	376832	231424	100	0
1970/01/01_10:37:01	3669		16	366592	220160	84	0
1970/01/01_10:37:02	3669		16	376832	231424	100	0
1970/01/01_10:37:03	3669		16	376832	231424	100	0
1970/01/01_10:37:04	3669		16	376832	230400	100	0
1970/01/01_10:37:05	3669		16	376832	231424	100	0
1970/01/01_10:37:06	3669		16	376832	230400	100	0
1970/01/01_10:37:07	3669		16	376832	231424	100	0
1970/01/01_10:37:08	3669		16	376832	230400	98	0
1970/01/01_10:37:09	3669		16	376832	231424	100	0
1970/01/01_10:37:10	3669		16	376832	230400	84	0
1970/01/01_10:37:11	3669		16	376832	231424	100	0
1970/01/01_10:37:12	3669		16	376832	232448	100	0
1970/01/01_10:37:13	3669		16	376832	230400	88	0
1970/01/01_10:37:14	3669		16	376832	231424	100	0
1970/01/01_10:37:15	3669		16	334848	192512	100	0
1970/01/01_10:37:16	3669		16	377856	231424	100	0
1970/01/01_10:37:17	3669		16	377856	232448	102	0
1970/01/01_10:37:18	3669		16	366592	223232	86	0
1970/01/01_10:37:19	3669		16	377856	231424	102	0
1970/01/01_10:37:20	3669		16	377856	232448	100	0
1970/01/01_10:37:21	3669		16	377856	231424	102	0
1970/01/01_10:37:22	3669		16	377856	231424	100	0
1970/01/01_10:37:23	3669		16	377856	231424	84	0
1970/01/01_10:37:24	3669		16	377856	231424	102	0
1970/01/01_10:37:25	3669		16	334848	192512	90	0
1970/01/01_10:37:26	3669		16	377856	231424	100	0
1970/01/01_10:37:27	3669		16	377856	232448	100	0
1970/01/01_10:37:28	3669		16	377856	231424	88	0
1970/01/01_10:37:29	3669		16	377856	231424	100	0
1970/01/01_10:37:30	3669		16	377856	230400	84	0
1970/01/01_10:37:31	3669		16	377856	231424	102	0
1970/01/01_10:37:32	3669		16	377856	232448	102	0
1970/01/01_10:37:33	3669		16	377856	230400	88	0
1970/01/01_10:37:34	3669		16	377856	231424	100	0
1970/01/01_10:37:35	3669		16	334848	192512	100	0
1970/01/01_10:37:36	3669		16	377856	231424	100	0
1970/01/01_10:37:37	3669		16	377856	232448	100	0
1970/01/01_10:37:38	3669		16	377856	230400	88	0
1970/01/01_10:37:39	3669		16	377856	231424	100	0
1970/01/01_10:37:41	3669		16	377856	232448	100	0
1970/01/01_10:37:42	3669		16	376832	230400	100	0
1970/01/01_10:37:43	3669		16	376832	231424	100	0
1970/01/01_10:37:44	3669		16	334848	192512	102	0
1970/01/01_10:37:45	3669		16	377856	230400	100	0
1970/01/01_10:37:46	3669		16	377856	232448	100	0
1970/01/01_10:37:47	3669		16	377856	230400	84	0
1970/01/01_10:37:48	3669		16	377856	231424	100	0
1970/01/01_10:37:49	3669		16	377856	232448	100	0
1970/01/01_10:37:50	3669		16	377856	231424	99	0
1970/01/01_10:37:51	3669		16	377856	231424	100	0
1970/01/01_10:37:52	3669		16	334848	191488	86	0
1970/01/01_10:37:53	3669		16	377856	231424	102	0
1970/01/01_10:37:54	3669		16	377856	232448	100	0
1970/01/01_10:37:55	3669		16	377856	231424	86	0
1970/01/01_10:37:56	3669		16	377856	231424	100	0
1970/01/01_10:37:57	3669		16	377856	232448	100	0
1970/01/01_10:37:58	3669		16	377856	231424	100	0
1970/01/01_10:37:59	3669		16	377856	231424	100	0
1970/01/01_10:38:00	3669		16	366592	223232	86	0
1970/01/01_10:38:01	3669		16	377856	231424	100	0
1970/01/01_10:38:02	3669		16	377856	232448	100	0
1970/01/01_10:38:03	3669		16	377856	231424	96	0
1970/01/01_10:38:04	3669		16	377856	231424	100	0
1970/01/01_10:38:05	3669		16	377856	232448	100	0
1970/01/01_10:38:07	3669		16	377856	231424	100	0
1970/01/01_10:38:08	3669		16	377856	231424	102	0
1970/01/01_10:38:09	3669		16	366592	223232	86	0
1970/01/01_10:38:10	3669		16	377856	231424	100	0
1970/01/01_10:38:11	3669		16	377856	232448	100	0
1970/01/01_10:38:12	3669		16	377856	231424	84	0
1970/01/01_10:38:13	3669		16	377856	231424	100	0
1970/01/01_10:38:14	3669		16	377856	232448	100	0
1970/01/01_10:38:15	3669		16	377856	231424	100	0
1970/01/01_10:38:16	3669		16	377856	231424	102	0
1970/01/01_10:38:17	3669		16	377856	231424	86	0
1970/01/01_10:38:18	3669		16	377856	231424	100	0
1970/01/01_10:38:19	3669		16	377856	231424	86	0
1970/01/01_10:38:20	3669		16	377856	231424	102	0
1970/01/01_10:38:21	3669		16	377856	232448	102	0
1970/01/01_10:38:22	3669		16	377856	231424	100	0
1970/01/01_10:38:23	3669		16	377856	231424	100	0
1970/01/01_10:38:24	3669		16	377856	231424	100	0
1970/01/01_10:38:25	3669		16	377856	231424	102	0
1970/01/01_10:38:26	3669		16	377856	232448	100	0
1970/01/01_10:38:27	3669		16	377856	231424	102	0
1970/01/01_10:38:28	3669		16	377856	231424	100	0
1970/01/01_10:38:29	3669		16	376832	230400	86	0
1970/01/01_10:38:30	3669		16	376832	230400	100	0
1970/01/01_10:38:31	3669		16	376832	231424	100	0
1970/01/01_10:38:32	3669		16	376832	230400	86	0
1970/01/01_10:38:33	3669		16	376832	231424	100	0
1970/01/01_10:38:34	3669		16	376832	231424	100	0
1970/01/01_10:38:35	3669		16	376832	230400	100	0
1970/01/01_10:38:36	3669		16	376832	231424	102	0
1970/01/01_10:38:37	3669		16	335872	192512	100	0
1970/01/01_10:38:38	3669		16	377856	231424	100	0
1970/01/01_10:38:39	3669		16	377856	232448	100	0
1970/01/01_10:38:40	3669		16	377856	231424	86	0
1970/01/01_10:38:41	3669		16	377856	231424	102	0
1970/01/01_10:38:42	3669		16	377856	232448	102	0
1970/01/01_10:38:43	3669		16	377856	231424	100	0
1970/01/01_10:38:45	3669		16	377856	232448	100	0
1970/01/01_10:38:46	3669		16	377856	231424	86	0
1970/01/01_10:38:47	3669		16	377856	231424	100	0
1970/01/01_10:38:48	3669		16	377856	232448	100	0
1970/01/01_10:38:49	3669		16	377856	231424	100	0
1970/01/01_10:38:50	3669		16	377856	231424	100	0
1970/01/01_10:38:51	3669		16	366592	211968	86	0
1970/01/01_10:38:52	3669		16	377856	231424	100	0
1970/01/01_10:38:53	3669		16	377856	232448	100	0
1970/01/01_10:38:54	3669		16	377856	231424	94	0
1970/01/01_10:38:55	3669		16	377856	231424	100	0
1970/01/01_10:38:56	3669		16	377856	232448	100	0
1970/01/01_10:38:57	3669		16	377856	231424	100	0
1970/01/01_10:38:58	3669		16	377856	231424	84	0
1970/01/01_10:38:59	3669		16	377856	231424	100	0
1970/01/01_10:39:00	3669		16	377856	231424	100	0
1970/01/01_10:39:01	3669		16	377856	231424	84	0
1970/01/01_10:39:02	3669		16	335872	192512	84	0
1970/01/01_10:39:03	3669		16	377856	231424	98	0
1970/01/01_10:39:04	3669		16	377856	231424	84	0
1970/01/01_10:39:05	3669		16	377856	231424	100	0
1970/01/01_10:39:06	3669		16	377856	231424	102	0
1970/01/01_10:39:07	3669		16	377856	231424	84	0
1970/01/01_10:39:08	3669		16	377856	231424	100	0
1970/01/01_10:39:09	3669		16	377856	231424	100	0
1970/01/01_10:39:10	3669		16	377856	231424	84	0
1970/01/01_10:39:11	3669		16	377856	231424	100	0
1970/01/01_10:39:12	3669		16	377856	231424	100	0
1970/01/01_10:39:13	3669		16	377856	231424	100	0
1970/01/01_10:39:14	3669		16	377856	231424	82	0
1970/01/01_10:39:15	3669		16	377856	231424	82	0
1970/01/01_10:39:16	3669		16	377856	231424	82	0
1970/01/01_10:39:17	3669		16	377856	231424	82	0
1970/01/01_10:39:18	3669		16	377856	231424	100	0
1970/01/01_10:39:19	3669		16	377856	231424	86	0
1970/01/01_10:39:20	3669		16	377856	231424	100	0
1970/01/01_10:39:22	3669		16	377856	231424	86	0
1970/01/01_10:39:23	3669		16	377856	231424	100	0
1970/01/01_10:39:24	3669		16	377856	231424	84	0
1970/01/01_10:39:25	3669		16	377856	231424	102	0
1970/01/01_10:39:26	3669		16	377856	231424	94	0
1970/01/01_10:39:27	3669		16	377856	231424	100	0
1970/01/01_10:39:28	3669		16	377856	231424	86	0
1970/01/01_10:39:29	3669		16	377856	231424	100	0
1970/01/01_10:39:30	3669		16	377856	231424	84	0
1970/01/01_10:39:31	3669		16	377856	231424	100	0
1970/01/01_10:39:32	3669		16	377856	231424	84	0
1970/01/01_10:39:33	3669		16	377856	231424	100	0
1970/01/01_10:39:34	3669		16	377856	231424	100	0
1970/01/01_10:39:35	3669		16	377856	231424	102	0
1970/01/01_10:39:36	3669		16	377856	231424	102	0
1970/01/01_10:39:37	3669		16	377856	231424	100	0
1970/01/01_10:39:38	3669		16	377856	231424	100	0
1970/01/01_10:39:39	3669		16	377856	232448	100	0
1970/01/01_10:39:40	3669		16	377856	231424	102	0
1970/01/01_10:39:41	3669		16	335872	189440	86	0
1970/01/01_10:39:42	3669		16	377856	231424	100	0
1970/01/01_10:39:43	3669		16	377856	231424	100	0
1970/01/01_10:39:44	3669		16	340992	193536	84	0
1970/01/01_10:39:45	3669		16	377856	231424	102	0
1970/01/01_10:39:46	3669		16	377856	231424	100	0
1970/01/01_10:39:47	3669		16	377856	231424	100	0
1970/01/01_10:39:48	3669		16	377856	231424	100	0
1970/01/01_10:39:49	3669		16	335872	192512	98	0
1970/01/01_10:39:50	3669		16	377856	231424	100	0
1970/01/01_10:39:51	3669		16	377856	231424	102	0
1970/01/01_10:39:52	3669		16	377856	231424	100	0
1970/01/01_10:39:53	3669		16	377856	231424	100	0
1970/01/01_10:39:54	3669		16	340992	192512	82	0
1970/01/01_10:39:55	3669		16	377856	231424	100	0
1970/01/01_10:39:57	3669		16	377856	231424	100	0
1970/01/01_10:39:58	3669		16	377856	231424	100	0
1970/01/01_10:39:59	3669		16	377856	231424	100	0
1970/01/01_10:40:00	3669		16	377856	231424	98	0
1970/01/01_10:40:01	3669		16	377856	231424	100	0
1970/01/01_10:40:02	3669		16	377856	231424	82	0
1970/01/01_10:40:03	3669		16	377856	231424	100	0
1970/01/01_10:40:04	3669		16	377856	231424	102	0
1970/01/01_10:40:05	3669		16	377856	231424	82	0
1970/01/01_10:40:06	3669		16	377856	231424	82	0
1970/01/01_10:40:07	3669		16	377856	231424	100	0
1970/01/01_10:40:08	3669		16	377856	232448	100	0
1970/01/01_10:40:09	3669		16	377856	231424	100	0
1970/01/01_10:40:10	3669		16	377856	232448	100	0
1970/01/01_10:40:11	3669		16	377856	231424	102	0
1970/01/01_10:40:12	3669		16	377856	231424	100	0
1970/01/01_10:40:13	3669		16	377856	231424	100	0
1970/01/01_10:40:14	3669		16	377856	231424	100	0
1970/01/01_10:40:15	3669		16	377856	231424	86	0
1970/01/01_10:40:16	3669		16	377856	231424	100	0
1970/01/01_10:40:17	3669		16	377856	231424	84	0
1970/01/01_10:40:18	3669		16	377856	231424	100	0
1970/01/01_10:40:19	3669		16	377856	231424	84	0
1970/01/01_10:40:20	3669		16	377856	231424	100	0
1970/01/01_10:40:21	3669		16	377856	232448	100	0
1970/01/01_10:40:22	3669		16	377856	231424	100	0
1970/01/01_10:40:23	3669		16	377856	231424	100	0
1970/01/01_10:40:24	3669		16	377856	231424	100	0
1970/01/01_10:40:25	3669		16	377856	231424	100	0
1970/01/01_10:40:26	3669		16	377856	231424	100	0
1970/01/01_10:40:27	3669		16	377856	231424	100	0
1970/01/01_10:40:28	3669		16	377856	231424	100	0
1970/01/01_10:40:29	3669		16	377856	231424	100	0
1970/01/01_10:40:31	3669		16	377856	231424	100	0
1970/01/01_10:40:32	3669		16	366592	205824	86	0
1970/01/01_10:40:33	3669		16	377856	231424	82	0
1970/01/01_10:40:34	3669		16	377856	231424	80	0
1970/01/01_10:40:35	3669		16	377856	231424	100	0
1970/01/01_10:40:36	3669		16	377856	231424	100	0
1970/01/01_10:40:37	3669		16	377856	231424	102	0
1970/01/01_10:40:38	3669		16	377856	231424	100	0
1970/01/01_10:40:39	3669		16	377856	231424	102	0
1970/01/01_10:40:40	3669		16	335872	192512	88	0
1970/01/01_10:40:41	3669		16	366592	223232	80	0
1970/01/01_10:40:42	3669		16	377856	231424	100	0
1970/01/01_10:40:43	3669		16	377856	231424	100	0
1970/01/01_10:40:44	3669		16	377856	231424	100	0
1970/01/01_10:40:45	3669		16	377856	231424	82	0
1970/01/01_10:40:46	3669		16	366592	207872	84	0
1970/01/01_10:40:47	3669		16	377856	231424	100	0
1970/01/01_10:40:48	3669		16	377856	231424	100	0
1970/01/01_10:40:49	3669		16	377856	231424	100	0
1970/01/01_10:40:50	3669		16	377856	231424	102	0
1970/01/01_10:40:51	3669		16	377856	231424	100	0
1970/01/01_10:40:52	3669		16	377856	231424	100	0
1970/01/01_10:40:53	3669		16	377856	231424	100	0
1970/01/01_10:40:54	3669		16	377856	231424	100	0
1970/01/01_10:40:55	3669		16	377856	231424	100	0
1970/01/01_10:40:56	3669		16	377856	231424	100	0
1970/01/01_10:40:57	3669		16	377856	231424	100	0
1970/01/01_10:40:58	3669		16	377856	231424	100	0
1970/01/01_10:40:59	3669		16	377856	231424	86	0
1970/01/01_10:41:00	3669		16	377856	231424	100	0
1970/01/01_10:41:01	3669		16	377856	231424	102	0
1970/01/01_10:41:02	3669		16	335872	192512	90	0
1970/01/01_10:41:03	3669		16	377856	231424	100	0
1970/01/01_10:41:04	3669		16	377856	231424	100	0
1970/01/01_10:41:05	3669		16	377856	231424	100	0
1970/01/01_10:41:07	3669		16	377856	231424	100	0
1970/01/01_10:41:08	3669		16	377856	231424	100	0
1970/01/01_10:41:09	3669		16	377856	232448	100	0
1970/01/01_10:41:10	3669		16	366592	216064	88	0
1970/01/01_10:41:11	3669		16	377856	231424	100	0
1970/01/01_10:41:12	3669		16	377856	231424	100	0
1970/01/01_10:41:13	3669		16	335872	192512	101	0
1970/01/01_10:41:14	3669		16	377856	231424	100	0
1970/01/01_10:41:15	3669		16	377856	231424	100	0
1970/01/01_10:41:16	3669		16	377856	231424	100	0
1970/01/01_10:41:17	3669		16	377856	231424	100	0
1970/01/01_10:41:18	3669		16	377856	231424	100	0
1970/01/01_10:41:19	3669		16	377856	231424	100	0
1970/01/01_10:41:20	3669		16	377856	231424	100	0
1970/01/01_10:41:21	3669		16	377856	231424	100	0
1970/01/01_10:41:22	3669		16	377856	232448	102	0
1970/01/01_10:41:23	3669		16	377856	231424	86	0
1970/01/01_10:41:24	3669		16	377856	231424	100	0
1970/01/01_10:41:25	3669		16	377856	231424	100	0
1970/01/01_10:41:26	3669		16	366592	209920	86	0
1970/01/01_10:41:27	3669		16	377856	231424	100	0
1970/01/01_10:41:28	3669		16	377856	231424	100	0
1970/01/01_10:41:29	3669		16	377856	231424	100	0
1970/01/01_10:41:30	3669		16	377856	231424	100	0
1970/01/01_10:41:31	3669		16	377856	231424	100	0
1970/01/01_10:41:32	3669		16	377856	231424	100	0
1970/01/01_10:41:33	3669		16	377856	231424	100	0
1970/01/01_10:41:34	3669		16	377856	231424	102	0
1970/01/01_10:41:35	3669		16	377856	232448	100	0
1970/01/01_10:41:36	3669		16	377856	231424	88	0
1970/01/01_10:41:37	3669		16	377856	231424	100	0
1970/01/01_10:41:38	3669		16	377856	231424	102	0
1970/01/01_10:41:39	3669		16	377856	232448	100	0
1970/01/01_10:41:40	3669		16	377856	231424	102	0
1970/01/01_10:41:41	3669		16	377856	231424	100	0
1970/01/01_10:41:42	3669		16	377856	232448	100	0
1970/01/01_10:41:43	3669		16	377856	231424	86	0
1970/01/01_10:41:45	3669		16	377856	231424	102	0
1970/01/01_10:41:46	3669		16	377856	231424	102	0
1970/01/01_10:41:47	3669		16	377856	232448	100	0
1970/01/01_10:41:48	3669		16	377856	231424	100	0
1970/01/01_10:41:49	3669		16	377856	231424	100	0
1970/01/01_10:41:50	3669		16	377856	232448	102	0
1970/01/01_10:41:51	3669		16	366592	218112	84	0
1970/01/01_10:41:52	3669		16	377856	231424	100	0
1970/01/01_10:41:53	3669		16	377856	231424	100	0
1970/01/01_10:41:54	3669		16	377856	232448	100	0
1970/01/01_10:41:55	3669		16	377856	231424	84	0
1970/01/01_10:41:56	3669		16	377856	231424	100	0
1970/01/01_10:41:57	3669		16	377856	232448	100	0
1970/01/01_10:41:58	3669		16	377856	232448	100	0
1970/01/01_10:41:59	3669		16	377856	231424	100	0
1970/01/01_10:42:00	3669		16	377856	231424	100	0
1970/01/01_10:42:01	3669		16	377856	232448	100	0
1970/01/01_10:42:02	3669		16	377856	231424	86	0
1970/01/01_10:42:03	3669		16	377856	231424	100	0
1970/01/01_10:42:04	3669		16	377856	231424	102	0
1970/01/01_10:42:05	3669		16	377856	232448	100	0
1970/01/01_10:42:06	3669		16	377856	231424	100	0
1970/01/01_10:42:07	3669		16	377856	231424	100	0
1970/01/01_10:42:08	3669		16	377856	232448	100	0
1970/01/01_10:42:09	3669		16	377856	231424	86	0
1970/01/01_10:42:10	3669		16	377856	231424	100	0
1970/01/01_10:42:11	3669		16	377856	231424	100	0
1970/01/01_10:42:12	3669		16	377856	232448	102	0
1970/01/01_10:42:13	3669		16	377856	231424	100	0
1970/01/01_10:42:14	3669		16	377856	231424	102	0
1970/01/01_10:42:15	3669		16	377856	232448	100	0
1970/01/01_10:42:16	3669		16	377856	231424	88	0
1970/01/01_10:42:17	3669		16	377856	231424	100	0
1970/01/01_10:42:18	3669		16	377856	231424	100	0
1970/01/01_10:42:19	3669		16	377856	232448	100	0
1970/01/01_10:42:20	3669		16	377856	231424	100	0
1970/01/01_10:42:21	3669		16	377856	231424	100	0
1970/01/01_10:42:22	3669		16	377856	232448	100	0
1970/01/01_10:42:24	3669		16	377856	231424	86	0
1970/01/01_10:42:25	3669		16	377856	231424	100	0
1970/01/01_10:42:26	3669		16	377856	231424	100	0
1970/01/01_10:42:27	3669		16	377856	232448	100	0
1970/01/01_10:42:28	3669		16	377856	231424	100	0
1970/01/01_10:42:29	3669		16	377856	231424	100	0
1970/01/01_10:42:30	3669		16	377856	232448	100	0
1970/01/01_10:42:31	3669		16	335872	192512	88	0
1970/01/01_10:42:32	3669		16	377856	231424	102	0
1970/01/01_10:42:33	3669		16	377856	231424	100	0
1970/01/01_10:42:34	3669		16	377856	232448	98	0
1970/01/01_10:42:35	3669		16	377856	231424	88	0
1970/01/01_10:42:36	3669		16	377856	231424	98	0
1970/01/01_10:42:37	3669		16	377856	232448	100	0
1970/01/01_10:42:38	3669		16	335872	192512	96	0
1970/01/01_10:42:39	3669		16	377856	231424	100	0
1970/01/01_10:42:40	3669		16	377856	231424	100	0
1970/01/01_10:42:41	3669		16	377856	232448	100	0
1970/01/01_10:42:42	3669		16	377856	231424	98	0
1970/01/01_10:42:43	3669		16	377856	231424	84	0
1970/01/01_10:42:44	3669		16	377856	231424	84	0
1970/01/01_10:42:45	3669		16	335872	192512	92	0
1970/01/01_10:42:46	3669		16	377856	231424	100	0
1970/01/01_10:42:47	3669		16	377856	231424	100	0
1970/01/01_10:42:48	3669		16	377856	231424	100	0
1970/01/01_10:42:49	3669		16	377856	231424	100	0
1970/01/01_10:42:50	3669		16	335872	192512	90	0
1970/01/01_10:42:51	3669		16	335872	192512	92	0
1970/01/01_10:42:52	3669		16	335872	192512	90	0
1970/01/01_10:42:53	3669		16	377856	231424	100	0
1970/01/01_10:42:54	3669		16	377856	231424	100	0
1970/01/01_10:42:55	3669		16	377856	231424	100	0
1970/01/01_10:42:56	3669		16	377856	231424	82	0
1970/01/01_10:42:57	3669		16	377856	231424	100	0
1970/01/01_10:42:58	3669		16	335872	192512	94	0
1970/01/01_10:42:59	3669		16	377856	231424	100	0
1970/01/01_10:43:00	3669		16	377856	231424	92	0
1970/01/01_10:43:01	3669		16	377856	231424	102	0
1970/01/01_10:43:03	3669		16	373760	227328	84	0
1970/01/01_10:43:04	3669		16	377856	231424	100	0
1970/01/01_10:43:05	3669		16	377856	231424	100	0
1970/01/01_10:43:06	3669		16	377856	232448	100	0
1970/01/01_10:43:07	3669		16	377856	231424	100	0
1970/01/01_10:43:08	3669		16	377856	231424	84	0
1970/01/01_10:43:09	3669		16	377856	231424	100	0
1970/01/01_10:43:10	3669		16	377856	232448	100	0
1970/01/01_10:43:11	3669		16	377856	231424	100	0
1970/01/01_10:43:12	3669		16	377856	231424	84	0
1970/01/01_10:43:13	3669		16	377856	231424	100	0
1970/01/01_10:43:14	3669		16	377856	232448	100	0
1970/01/01_10:43:15	3669		16	377856	231424	102	0
1970/01/01_10:43:16	3669		16	335872	190464	84	0
1970/01/01_10:43:17	3669		16	377856	231424	100	0
1970/01/01_10:43:18	3669		16	377856	232448	100	0
1970/01/01_10:43:19	3669		16	377856	231424	102	0
1970/01/01_10:43:20	3669		16	377856	232448	102	0
1970/01/01_10:43:21	3669		16	377856	231424	100	0
1970/01/01_10:43:22	3669		16	377856	232448	100	0
1970/01/01_10:43:23	3669		16	377856	231424	84	0
1970/01/01_10:43:24	3669		16	377856	231424	100	0
1970/01/01_10:43:25	3669		16	377856	231424	100	0
1970/01/01_10:43:26	3669		16	377856	232448	102	0
1970/01/01_10:43:27	3669		16	366592	224256	84	0
1970/01/01_10:43:28	3669		16	377856	231424	100	0
1970/01/01_10:43:29	3669		16	377856	231424	86	0
1970/01/01_10:43:30	3669		16	377856	231424	100	0
1970/01/01_10:43:31	3669		16	377856	232448	100	0
1970/01/01_10:43:32	3669		16	377856	231424	102	0
1970/01/01_10:43:33	3669		16	335872	192512	98	0
1970/01/01_10:43:34	3669		16	377856	231424	100	0
1970/01/01_10:43:35	3669		16	377856	232448	100	0
1970/01/01_10:43:36	3669		16	377856	231424	86	0
1970/01/01_10:43:37	3669		16	377856	231424	100	0
1970/01/01_10:43:38	3669		16	377856	231424	100	0
1970/01/01_10:43:40	3669		16	377856	232448	100	0
1970/01/01_10:43:41	3669		16	377856	231424	84	0
1970/01/01_10:43:42	3669		16	377856	231424	100	0
1970/01/01_10:43:43	3669		16	377856	231424	100	0
1970/01/01_10:43:44	3669		16	377856	231424	100	0
1970/01/01_10:43:45	3669		16	377856	231424	84	0
1970/01/01_10:43:46	3669		16	377856	231424	100	0
1970/01/01_10:43:47	3669		16	377856	231424	100	0
1970/01/01_10:43:48	3669		16	377856	231424	100	0
1970/01/01_10:43:49	3669		16	377856	231424	100	0
1970/01/01_10:43:50	3669		16	377856	231424	84	0
1970/01/01_10:43:51	3669		16	377856	231424	100	0
1970/01/01_10:43:52	3669		16	377856	232448	100	0
1970/01/01_10:43:53	3669		16	377856	231424	100	0
1970/01/01_10:43:54	3669		16	377856	231424	84	0
1970/01/01_10:43:55	3669		16	377856	231424	100	0
1970/01/01_10:43:56	3669		16	377856	231424	84	0
1970/01/01_10:43:57	3669		16	377856	231424	100	0
1970/01/01_10:43:58	3669		16	377856	231424	100	0
1970/01/01_10:43:59	3669		16	377856	231424	94	0
1970/01/01_10:44:00	3669		16	377856	231424	100	0
1970/01/01_10:44:01	3669		16	377856	231424	84	0
1970/01/01_10:44:02	3669		16	377856	231424	100	0
1970/01/01_10:44:03	3669		16	377856	231424	100	0
1970/01/01_10:44:04	3669		16	377856	231424	102	0
1970/01/01_10:44:05	3669		16	377856	231424	100	0
1970/01/01_10:44:06	3669		16	377856	231424	102	0
1970/01/01_10:44:07	3669		16	377856	231424	100	0
1970/01/01_10:44:08	3669		16	335872	192512	94	0
1970/01/01_10:44:09	3669		16	377856	231424	100	0
1970/01/01_10:44:10	3669		16	377856	231424	100	0
1970/01/01_10:44:11	3669		16	377856	231424	100	0
